,Dates,EURCHF,AUDJPY,EURAUD,GBPCAD,SGDJPY,NZDUSD,USDCHF,USDJPY,EURUSD,USDCAD,USDSGD
0,10.01.2017,,,,,,,,,,,
1,11.01.2017,,,,,,,,,,,
2,12.01.2017,,,,,,,,,,,
3,13.01.2017,,,,,,,,,,,
4,14.01.2017,,,,,,,,,,,
5,16.01.2017,,,,,,,,,,,
6,17.01.2017,,,,,,,,,,,
7,18.01.2017,,,,,,,,,,,
8,19.01.2017,,,,,,,,,,,
9,20.01.2017,,,,,,,,,,,
10,21.01.2017,,,,,,,,,,,
11,23.01.2017,,,,,,,,,,,
12,24.01.2017,,,,,,,,,,,
13,25.01.2017,,,,,,,,,,,
14,26.01.2017,,,,,,,,,,,
15,27.01.2017,,,,,,,,,,,
16,28.01.2017,,,,,,,,,,,
17,30.01.2017,,,,,,,,,,,
18,31.01.2017,,,,,,,,,,,
19,01.02.2017,,,,,,,,,,,
20,02.02.2017,,,,,,,,,,,
21,03.02.2017,,,,,,,,,,,
22,04.02.2017,,,,,,,,,,,
23,06.02.2017,,,,,,,,,,,
24,07.02.2017,,,,,,,,,,,
25,08.02.2017,,,,,,,,,,,
26,09.02.2017,,,,,,,,,,,
27,10.02.2017,,,,,,,,,,,
28,11.02.2017,,,,,,,,,,,
29,13.02.2017,,,,,,,,,,,
30,14.02.2017,,,,,,,,,,,
31,15.02.2017,,,,,,,,,,,
32,16.02.2017,,,,,,,,,,,
33,17.02.2017,,,,,,,,,,,
34,18.02.2017,,,,,,,,,,,
35,20.02.2017,,,,,,,,,,,
36,21.02.2017,,,,,,,,,,,
37,22.02.2017,,,,,,,,,,,
38,23.02.2017,,,,,,,,,,,
39,24.02.2017,,,,,,,,,,,
40,25.02.2017,,,,,,,,,,,
41,27.02.2017,,,,,,,,,,,
42,28.02.2017,,,,,,,,,,,
43,01.03.2017,,,,,,,,,,,
44,02.03.2017,,,,,,,,,,,
45,03.03.2017,,,,,,,,,,,
46,04.03.2017,,,,,,,,,,,
47,06.03.2017,,,,,,,,,,,
48,07.03.2017,,,,,,,,,,,
49,08.03.2017,,,,,,,,,,,
50,09.03.2017,,,,,,,,,,,
51,10.03.2017,,,,,,,,,,,
52,11.03.2017,,,,,,,,,,,
53,13.03.2017,,,,,,,,,,,
54,14.03.2017,,,,,,,,,,,
55,15.03.2017,,,,,,,,,,,
56,16.03.2017,,,,,,,,,,,
57,17.03.2017,,,,,,,,,,,
58,18.03.2017,,,,,,,,,,,
59,20.03.2017,,,,,,,,,,,
60,21.03.2017,,,,,,,,,,,
61,22.03.2017,,,,,,,,,,,
62,23.03.2017,,,,,,,,,,,
63,24.03.2017,,,,,,,,,,,
64,25.03.2017,,,,,,,,,,,
65,27.03.2017,,,,,,,,,,,
66,28.03.2017,,,,,,,,,,,
67,29.03.2017,,,,,,,,,,,
68,30.03.2017,,,,,,,,,,,
69,31.03.2017,,,,,,,,,,,
70,01.04.2017,,,,,,,,,,,
71,03.04.2017,,,,,,,,,,,
72,04.04.2017,,,,,,,,,,,
73,05.04.2017,,,,,,,,,,,
74,06.04.2017,,,,,,,,,,,
75,07.04.2017,,,,,,,,,,,
76,08.04.2017,,,,,,,,,,,
77,10.04.2017,,,,,,,,,,,
78,11.04.2017,,,,,,,,,,,
79,12.04.2017,,,,,,,,,,,
80,13.04.2017,,,,,,,,,,,
81,14.04.2017,,,,,,,,,,,
82,15.04.2017,,,,,,,,,,,
83,17.04.2017,,,,,,,,,,,
84,18.04.2017,,,,,,,,,,,
85,19.04.2017,,,,,,,,,,,
86,20.04.2017,,,,,,,,,,,
87,21.04.2017,,,,,,,,,,,
88,22.04.2017,,,,,,,,,,,
89,24.04.2017,,,,,,,,,,,
90,25.04.2017,,,,,,,,,,,
91,26.04.2017,,,,,,,,,,,
92,27.04.2017,,,,,,,,,,,
93,28.04.2017,,,,,,,,,,,
94,29.04.2017,,,,,,,,,,,
95,01.05.2017,,,,,,,,,,,
96,02.05.2017,,,,,,,,,,,
97,03.05.2017,,,,,,,,,,,
98,04.05.2017,,,,,,,,,,,
