,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,85.469,85.539,85.404,85.477,9811.8701,2017-01-10,2017,01,10,85.344
1,10.01.2017 01:00:00.000 GMT+1100,85.475,85.49,85.305,85.45700000000001,11266.5098,2017-01-10,2017,01,10,85.344
2,10.01.2017 02:00:00.000 GMT+1100,85.45700000000001,85.559,85.366,85.54799999999999,10701.7305,2017-01-10,2017,01,10,85.344
3,10.01.2017 03:00:00.000 GMT+1100,85.546,85.725,85.391,85.46799999999999,11396.0898,2017-01-10,2017,01,10,85.344
4,10.01.2017 04:00:00.000 GMT+1100,85.46799999999999,85.626,85.445,85.603,6201.1001,2017-01-10,2017,01,10,85.344
5,10.01.2017 05:00:00.000 GMT+1100,85.602,85.633,85.557,85.596,4483.2998,2017-01-10,2017,01,10,85.344
6,10.01.2017 06:00:00.000 GMT+1100,85.595,85.602,85.40100000000001,85.40799999999999,5301.8901,2017-01-10,2017,01,10,85.344
7,10.01.2017 07:00:00.000 GMT+1100,85.40899999999999,85.462,85.34899999999999,85.353,4858.7402,2017-01-10,2017,01,10,85.344
8,10.01.2017 08:00:00.000 GMT+1100,85.354,85.39399999999999,85.29,85.305,2477.9199,2017-01-10,2017,01,10,85.344
9,10.01.2017 09:00:00.000 GMT+1100,85.30799999999999,85.31,85.04299999999999,85.305,3537.79,2017-01-10,2017,01,10,85.344
10,10.01.2017 10:00:00.000 GMT+1100,85.307,85.397,85.262,85.318,5762.4199,2017-01-10,2017,01,10,85.344
11,10.01.2017 11:00:00.000 GMT+1100,85.318,85.353,85.166,85.185,7442.29,2017-01-10,2017,01,10,85.344
12,10.01.2017 12:00:00.000 GMT+1100,85.18299999999999,85.32,85.083,85.32,7358.3398,2017-01-10,2017,01,10,85.344
13,10.01.2017 13:00:00.000 GMT+1100,85.32,85.399,85.145,85.265,11183.5801,2017-01-10,2017,01,10,85.344
14,10.01.2017 14:00:00.000 GMT+1100,85.26799999999999,85.336,85.051,85.115,10542.0898,2017-01-10,2017,01,10,85.344
