,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.05426,1.0553,1.05367,1.05495,4289.3999,2017-01-10,2017,01,10,1.05626
1,10.01.2017 01:00:00.000 GMT+1100,1.05495,1.0553299999999999,1.0541399999999999,1.05515,4591.2002,2017-01-10,2017,01,10,1.05626
2,10.01.2017 02:00:00.000 GMT+1100,1.05515,1.05555,1.05427,1.0553,5425.02,2017-01-10,2017,01,10,1.05626
3,10.01.2017 03:00:00.000 GMT+1100,1.05531,1.05744,1.05446,1.0562,4454.25,2017-01-10,2017,01,10,1.05626
4,10.01.2017 04:00:00.000 GMT+1100,1.05617,1.05706,1.05536,1.0568799999999998,2736.5,2017-01-10,2017,01,10,1.05626
5,10.01.2017 05:00:00.000 GMT+1100,1.0568799999999998,1.0574299999999999,1.05597,1.0561200000000002,1973.25,2017-01-10,2017,01,10,1.05626
6,10.01.2017 06:00:00.000 GMT+1100,1.0561200000000002,1.05624,1.05536,1.05538,1624.0,2017-01-10,2017,01,10,1.05626
7,10.01.2017 07:00:00.000 GMT+1100,1.05538,1.0561,1.05521,1.05596,2005.5,2017-01-10,2017,01,10,1.05626
8,10.01.2017 08:00:00.000 GMT+1100,1.05593,1.0562799999999999,1.0553,1.05542,1013.75,2017-01-10,2017,01,10,1.05626
9,10.01.2017 09:00:00.000 GMT+1100,1.05554,1.05728,1.05494,1.0561399999999999,1177.25,2017-01-10,2017,01,10,1.05626
10,10.01.2017 10:00:00.000 GMT+1100,1.05616,1.0564200000000001,1.05511,1.05538,1832.75,2017-01-10,2017,01,10,1.05626
11,10.01.2017 11:00:00.000 GMT+1100,1.05536,1.0565,1.05375,1.05429,3858.0,2017-01-10,2017,01,10,1.05626
12,10.01.2017 12:00:00.000 GMT+1100,1.05427,1.05589,1.05377,1.05562,4024.5,2017-01-10,2017,01,10,1.05626
13,10.01.2017 13:00:00.000 GMT+1100,1.0556299999999998,1.05777,1.0551700000000002,1.05671,5059.0,2017-01-10,2017,01,10,1.05626
14,10.01.2017 14:00:00.000 GMT+1100,1.05659,1.0573299999999999,1.0563799999999999,1.05702,4957.5,2017-01-10,2017,01,10,1.05626
15,10.01.2017 15:00:00.000 GMT+1100,1.057,1.05746,1.05644,1.05715,2675.75,2017-01-10,2017,01,10,1.05626
16,10.01.2017 16:00:00.000 GMT+1100,1.05716,1.05722,1.05607,1.05672,2797.0,2017-01-10,2017,01,10,1.05626
17,10.01.2017 17:00:00.000 GMT+1100,1.0567,1.05724,1.0554,1.05592,3671.75,2017-01-10,2017,01,10,1.05626
