,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.05426,1.0553,1.05367,1.05495,4289.3999,2017-01-10,2017,1,10,1.05626,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.05495,1.05533,1.05414,1.05515,4591.2002,2017-01-10,2017,1,10,1.05626,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.05515,1.05555,1.05427,1.0553,5425.02,2017-01-10,2017,1,10,1.05626,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.05531,1.05744,1.05446,1.0562,4454.25,2017-01-10,2017,1,10,1.05626,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.05617,1.05706,1.05536,1.0568799999999998,2736.5,2017-01-10,2017,1,10,1.05626,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.0568799999999998,1.05743,1.05597,1.0561200000000002,1973.25,2017-01-10,2017,1,10,1.05626,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.0561200000000002,1.05624,1.05536,1.05538,1624.0,2017-01-10,2017,1,10,1.05626,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.05538,1.0561,1.05521,1.05596,2005.5,2017-01-10,2017,1,10,1.05626,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.05593,1.05628,1.0553,1.05542,1013.75,2017-01-10,2017,1,10,1.05626,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.05554,1.05728,1.05494,1.05614,1177.25,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.05616,1.05642,1.05511,1.05538,1832.75,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.05536,1.0565,1.05375,1.05429,3858.0,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.05427,1.05589,1.05377,1.05562,4024.5,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.0556299999999998,1.05777,1.0551700000000002,1.05671,5059.0,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.05659,1.05733,1.05638,1.05702,4957.5,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.057,1.05746,1.05644,1.05715,2675.75,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.05716,1.05722,1.05607,1.05672,2797.0,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.0567,1.05724,1.0554,1.05592,3671.75,2017-01-10,2017,1,10,1.05626,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.05571,1.05655,1.05503,1.05645,4684.71,2017-01-10,2017,1,10,1.05626,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.05645,1.05765,1.05565,1.05594,3726.97,2017-01-10,2017,1,10,1.05626,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.05596,1.0563,1.05435,1.05485,2717.3601,2017-01-10,2017,1,10,1.05626,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.05485,1.05685,1.05455,1.05645,1746.3199,2017-01-10,2017,1,10,1.05626,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.05645,1.05655,1.05475,1.05495,1787.7,2017-01-10,2017,1,10,1.05626,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.05495,1.05496,1.05389,1.05455,2891.49,2017-01-10,2017,1,10,1.05626,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,1.05445,1.05575,1.05405,1.05548,3267.74,2017-01-11,2017,1,11,1.05838,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,1.05548,1.05771,1.05467,1.05695,5688.4902,2017-01-11,2017,1,11,1.05838,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,1.05697,1.05805,1.05635,1.05788,5887.4102,2017-01-11,2017,1,11,1.05838,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,1.05785,1.05862,1.05725,1.0572700000000002,4627.3101,2017-01-11,2017,1,11,1.05838,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,1.05725,1.05808,1.05663,1.05709,3086.4399,2017-01-11,2017,1,11,1.05838,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,1.05711,1.05767,1.05683,1.05715,2001.35,2017-01-11,2017,1,11,1.05838,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,1.05715,1.05769,1.0567,1.05755,1803.65,2017-01-11,2017,1,11,1.05838,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,1.05755,1.05795,1.0573,1.05772,1524.9301,2017-01-11,2017,1,11,1.05838,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,1.05774,1.05864,1.05744,1.05744,1098.26,2017-01-11,2017,1,11,1.05838,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,1.05815,1.05818,1.0562,1.05734,550.64,2017-01-11,2017,1,11,1.05838,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,1.05729,1.05796,1.05715,1.05754,1011.74,2017-01-11,2017,1,11,1.05838,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,1.05753,1.05885,1.05745,1.05805,2132.46,2017-01-11,2017,1,11,1.05838,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,1.05795,1.05855,1.05725,1.05795,2091.72,2017-01-11,2017,1,11,1.05838,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,1.05805,1.05934,1.05765,1.05895,1967.46,2017-01-11,2017,1,11,1.05838,2269.349,2269.349,2269.349,2269.349,0.0
