,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,0.73255,0.7339399999999999,0.73235,0.73361,7944.96,2017-01-10,2017,01,10,0.73539
1,10.01.2017 01:00:00.000 GMT+1100,0.73358,0.73461,0.73353,0.73407,8158.5601,2017-01-10,2017,01,10,0.73539
2,10.01.2017 02:00:00.000 GMT+1100,0.7340800000000001,0.7346199999999999,0.7337199999999999,0.73448,7649.4199,2017-01-10,2017,01,10,0.73539
3,10.01.2017 03:00:00.000 GMT+1100,0.7345,0.7368899999999999,0.73418,0.73627,10648.71,2017-01-10,2017,01,10,0.73539
4,10.01.2017 04:00:00.000 GMT+1100,0.73625,0.7369600000000001,0.7357199999999999,0.7368600000000001,7673.8198,2017-01-10,2017,01,10,0.73539
5,10.01.2017 05:00:00.000 GMT+1100,0.7368600000000001,0.73735,0.73611,0.73612,6785.77,2017-01-10,2017,01,10,0.73539
6,10.01.2017 06:00:00.000 GMT+1100,0.73611,0.73641,0.73585,0.7359100000000001,6248.73,2017-01-10,2017,01,10,0.73539
7,10.01.2017 07:00:00.000 GMT+1100,0.7358899999999999,0.73606,0.73538,0.7356,6401.25,2017-01-10,2017,01,10,0.73539
8,10.01.2017 08:00:00.000 GMT+1100,0.73558,0.7356,0.7351300000000001,0.73531,2585.8501,2017-01-10,2017,01,10,0.73539
9,10.01.2017 09:00:00.000 GMT+1100,0.73531,0.7366,0.7351300000000001,0.73587,3224.8501,2017-01-10,2017,01,10,0.73539
10,10.01.2017 10:00:00.000 GMT+1100,0.7359,0.7361,0.73523,0.73558,3812.8701,2017-01-10,2017,01,10,0.73539
11,10.01.2017 11:00:00.000 GMT+1100,0.73558,0.73632,0.73411,0.73416,5667.1499,2017-01-10,2017,01,10,0.73539
12,10.01.2017 12:00:00.000 GMT+1100,0.73418,0.73522,0.7340399999999999,0.73477,5639.4502,2017-01-10,2017,01,10,0.73539
13,10.01.2017 13:00:00.000 GMT+1100,0.73478,0.73836,0.73439,0.73743,8349.5098,2017-01-10,2017,01,10,0.73539
14,10.01.2017 14:00:00.000 GMT+1100,0.73741,0.73843,0.73727,0.73793,8083.1299,2017-01-10,2017,01,10,0.73539
15,10.01.2017 15:00:00.000 GMT+1100,0.7379,0.73811,0.73714,0.7373,5780.0801,2017-01-10,2017,01,10,0.73539
16,10.01.2017 16:00:00.000 GMT+1100,0.73731,0.73758,0.7366699999999999,0.7373,5435.3101,2017-01-10,2017,01,10,0.73539
