,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.43614,1.43664,1.43414,1.43585,11262.0303,2017-01-10,2017,01,10,1.43749
1,10.01.2017 01:00:00.000 GMT+1100,1.43584,1.43661,1.43361,1.4343700000000001,12084.8398,2017-01-10,2017,01,10,1.43749
2,10.01.2017 02:00:00.000 GMT+1100,1.43438,1.43831,1.4341899999999999,1.4369100000000001,11174.5195,2017-01-10,2017,01,10,1.43749
3,10.01.2017 03:00:00.000 GMT+1100,1.4369299999999998,1.43865,1.43438,1.4361899999999999,11315.8701,2017-01-10,2017,01,10,1.43749
4,10.01.2017 04:00:00.000 GMT+1100,1.43618,1.4365299999999999,1.4341700000000002,1.43441,7735.0298,2017-01-10,2017,01,10,1.43749
5,10.01.2017 05:00:00.000 GMT+1100,1.4344,1.43498,1.43377,1.43492,6612.4102,2017-01-10,2017,01,10,1.43749
6,10.01.2017 06:00:00.000 GMT+1100,1.4349399999999999,1.4372200000000002,1.43466,1.43717,5292.3101,2017-01-10,2017,01,10,1.43749
7,10.01.2017 07:00:00.000 GMT+1100,1.43715,1.43731,1.4353200000000002,1.4365700000000001,5374.6401,2017-01-10,2017,01,10,1.43749
8,10.01.2017 08:00:00.000 GMT+1100,1.43661,1.4379,1.43635,1.4376200000000001,2745.77,2017-01-10,2017,01,10,1.43749
9,10.01.2017 09:00:00.000 GMT+1100,1.43785,1.43864,1.43664,1.43793,3035.2,2017-01-10,2017,01,10,1.43749
10,10.01.2017 10:00:00.000 GMT+1100,1.43797,1.43981,1.43771,1.43895,5147.6899,2017-01-10,2017,01,10,1.43749
11,10.01.2017 11:00:00.000 GMT+1100,1.43895,1.44245,1.43811,1.44229,7096.3701,2017-01-10,2017,01,10,1.43749
12,10.01.2017 12:00:00.000 GMT+1100,1.44229,1.44258,1.4395,1.43954,8005.1099,2017-01-10,2017,01,10,1.43749
13,10.01.2017 13:00:00.000 GMT+1100,1.4395200000000001,1.4399600000000001,1.43677,1.43822,11087.0996,2017-01-10,2017,01,10,1.43749
14,10.01.2017 14:00:00.000 GMT+1100,1.43822,1.43918,1.43754,1.43842,11077.9805,2017-01-10,2017,01,10,1.43749
15,10.01.2017 15:00:00.000 GMT+1100,1.43842,1.43966,1.4381,1.43858,7999.5298,2017-01-10,2017,01,10,1.43749
16,10.01.2017 16:00:00.000 GMT+1100,1.43859,1.4396,1.43845,1.4388,8047.4902,2017-01-10,2017,01,10,1.43749
17,10.01.2017 17:00:00.000 GMT+1100,1.4388100000000001,1.43976,1.4381,1.43918,8442.4004,2017-01-10,2017,01,10,1.43749
18,10.01.2017 18:00:00.000 GMT+1100,1.43919,1.44039,1.43872,1.43889,9272.1299,2017-01-10,2017,01,10,1.43749
19,10.01.2017 19:00:00.000 GMT+1100,1.43886,1.4414200000000001,1.43784,1.44056,12535.0801,2017-01-10,2017,01,10,1.43749
20,10.01.2017 20:00:00.000 GMT+1100,1.44054,1.4428299999999998,1.4402,1.4419600000000001,10147.0801,2017-01-10,2017,01,10,1.43749
21,10.01.2017 21:00:00.000 GMT+1100,1.44197,1.4422700000000002,1.4375799999999999,1.43897,9126.79,2017-01-10,2017,01,10,1.43749
22,10.01.2017 22:00:00.000 GMT+1100,1.439,1.44062,1.43864,1.43995,7898.9902,2017-01-10,2017,01,10,1.43749
23,10.01.2017 23:00:00.000 GMT+1100,1.43997,1.4416,1.4392399999999999,1.44032,9858.4902,2017-01-10,2017,01,10,1.43749
24,11.01.2017 00:00:00.000 GMT+1100,1.44031,1.4403299999999999,1.4387,1.43913,10211.0996,2017-01-11,2017,01,11,1.43218
25,11.01.2017 01:00:00.000 GMT+1100,1.4391399999999999,1.43957,1.43603,1.4376200000000001,12858.7998,2017-01-11,2017,01,11,1.43218
26,11.01.2017 02:00:00.000 GMT+1100,1.4376200000000001,1.4383,1.4345700000000001,1.4348299999999998,13202.4805,2017-01-11,2017,01,11,1.43218
27,11.01.2017 03:00:00.000 GMT+1100,1.4348299999999998,1.43534,1.43324,1.43446,10795.4697,2017-01-11,2017,01,11,1.43218
28,11.01.2017 04:00:00.000 GMT+1100,1.43446,1.43489,1.43331,1.4341,8052.8701,2017-01-11,2017,01,11,1.43218
29,11.01.2017 05:00:00.000 GMT+1100,1.4341,1.43456,1.43321,1.43382,6198.4702,2017-01-11,2017,01,11,1.43218
30,11.01.2017 06:00:00.000 GMT+1100,1.43384,1.43445,1.43295,1.433,5558.5,2017-01-11,2017,01,11,1.43218
31,11.01.2017 07:00:00.000 GMT+1100,1.433,1.43335,1.43241,1.43292,3692.0801,2017-01-11,2017,01,11,1.43218
32,11.01.2017 08:00:00.000 GMT+1100,1.4329100000000001,1.43327,1.43181,1.4322,2714.05,2017-01-11,2017,01,11,1.43218
