,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.43614,1.43664,1.43414,1.43585,11262.0303,2017-01-10,2017,1,10,1.43749,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.43584,1.43661,1.43361,1.43437,12084.8398,2017-01-10,2017,1,10,1.43749,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.43438,1.43831,1.43419,1.43691,11174.5195,2017-01-10,2017,1,10,1.43749,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.4369299999999998,1.43865,1.43438,1.43619,11315.8701,2017-01-10,2017,1,10,1.43749,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.43618,1.43653,1.4341700000000002,1.43441,7735.0298,2017-01-10,2017,1,10,1.43749,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.4344,1.43498,1.43377,1.43492,6612.4102,2017-01-10,2017,1,10,1.43749,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.43494,1.4372200000000002,1.43466,1.43717,5292.3101,2017-01-10,2017,1,10,1.43749,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.43715,1.43731,1.4353200000000002,1.43657,5374.6401,2017-01-10,2017,1,10,1.43749,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.43661,1.4379,1.43635,1.43762,2745.77,2017-01-10,2017,1,10,1.43749,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.43785,1.43864,1.43664,1.43793,3035.2,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.43797,1.43981,1.43771,1.43895,5147.6899,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.43895,1.44245,1.43811,1.44229,7096.3701,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.44229,1.44258,1.4395,1.43954,8005.1099,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.43952,1.43996,1.43677,1.43822,11087.0996,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.43822,1.43918,1.43754,1.43842,11077.9805,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.43842,1.43966,1.4381,1.43858,7999.5298,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.43859,1.4396,1.43845,1.4388,8047.4902,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.43881,1.43976,1.4381,1.43918,8442.4004,2017-01-10,2017,1,10,1.43749,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.43919,1.44039,1.43872,1.43889,9272.1299,2017-01-10,2017,1,10,1.43749,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.43886,1.44142,1.43784,1.44056,12535.0801,2017-01-10,2017,1,10,1.43749,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.44054,1.4428299999999998,1.4402,1.44196,10147.0801,2017-01-10,2017,1,10,1.43749,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.44197,1.4422700000000002,1.43758,1.43897,9126.79,2017-01-10,2017,1,10,1.43749,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.439,1.44062,1.43864,1.43995,7898.9902,2017-01-10,2017,1,10,1.43749,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.43997,1.4416,1.43924,1.44032,9858.4902,2017-01-10,2017,1,10,1.43749,2270.26,2271.16,2269.58,2269.619,0.7428
