,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.07152,1.07266,1.07135,1.07209,5555.0898,2017-01-10,2017,1,10,1.07326,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.07207,1.07225,1.07149,1.07169,5813.1401,2017-01-10,2017,1,10,1.07326,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.07167,1.07308,1.07166,1.07299,5242.4199,2017-01-10,2017,1,10,1.07326,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.07302,1.07361,1.07281,1.07319,5790.9302,2017-01-10,2017,1,10,1.07326,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.07319,1.07328,1.07283,1.07304,4047.3,2017-01-10,2017,1,10,1.07326,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.07306,1.07351,1.07295,1.07322,3354.6599,2017-01-10,2017,1,10,1.07326,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.07321,1.07335,1.07295,1.07296,3049.3,2017-01-10,2017,1,10,1.07326,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.0729799999999998,1.0733700000000002,1.07261,1.07276,4061.1799,2017-01-10,2017,1,10,1.07326,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.07275,1.0732700000000002,1.07267,1.07325,1338.85,2017-01-10,2017,1,10,1.07326,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.07306,1.0734,1.07255,1.07314,1016.54,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.07312,1.0738299999999998,1.0731,1.07369,3723.8401,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.07372,1.07411,1.07362,1.0739,3176.8899,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.07389,1.07412,1.07355,1.0737,3356.3401,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.07371,1.07415,1.07356,1.07396,4598.0898,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.07397,1.07463,1.07391,1.07394,4548.2202,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.07395,1.0742,1.07392,1.07406,2757.8799,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.07408,1.07419,1.0739,1.07407,2850.29,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.07407,1.07455,1.07395,1.07404,2991.8301,2017-01-10,2017,1,10,1.07326,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.0740299999999998,1.07416,1.07315,1.07319,3976.6899,2017-01-10,2017,1,10,1.07326,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.0732,1.07469,1.07286,1.07331,7551.98,2017-01-10,2017,1,10,1.07326,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.07331,1.07379,1.07277,1.0736,6153.1099,2017-01-10,2017,1,10,1.07326,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.0736,1.07375,1.0723200000000002,1.07331,4998.2598,2017-01-10,2017,1,10,1.07326,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.07333,1.07333,1.07236,1.07268,3735.5,2017-01-10,2017,1,10,1.07326,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.07268,1.07349,1.07247,1.0733,5579.7798,2017-01-10,2017,1,10,1.07326,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,1.07331,1.07398,1.07304,1.07391,5089.5898,2017-01-11,2017,1,11,1.07322,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,1.07391,1.07408,1.0732700000000002,1.07364,6238.8198,2017-01-11,2017,1,11,1.07322,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,1.07364,1.07389,1.0729799999999998,1.07376,6683.5298,2017-01-11,2017,1,11,1.07322,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,1.07377,1.07397,1.07319,1.07391,7235.2798,2017-01-11,2017,1,11,1.07322,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,1.07391,1.07438,1.07363,1.07363,4177.48,2017-01-11,2017,1,11,1.07322,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,1.07364,1.07401,1.07345,1.07349,3096.3101,2017-01-11,2017,1,11,1.07322,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,1.0735,1.07377,1.07334,1.07338,3201.22,2017-01-11,2017,1,11,1.07322,2271.099,2272.1,2268.599,2270.769,1.4781
