,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,122.766,122.832,122.538,122.743,11427.71,2017-01-10,2017,1,10,122.678,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,122.742,122.748,122.412,122.592,13122.0,2017-01-10,2017,1,10,122.678,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,122.592,122.988,122.581,122.936,12538.3799,2017-01-10,2017,1,10,122.678,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,122.938,123.072,122.63,122.762,13924.6201,2017-01-10,2017,1,10,122.678,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,122.761,122.841,122.725,122.798,9210.4004,2017-01-10,2017,1,10,122.678,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,122.8,122.853,122.761,122.837,6791.1699,2017-01-10,2017,1,10,122.678,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,122.841,122.847,122.675,122.76,6632.54,2017-01-10,2017,1,10,122.678,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,122.766,122.77,122.601,122.631,6872.5498,2017-01-10,2017,1,10,122.678,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,122.639,122.741,122.622,122.657,4034.8301,2017-01-10,2017,1,10,122.678,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,122.657,122.684,122.311,122.683,3631.5801,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,122.683,122.892,122.658,122.784,9004.9902,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,122.785,122.913,122.66,122.873,10556.6602,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,122.872,122.874,122.737,122.831,10674.8496,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,122.832,122.916,122.514,122.633,13761.04,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,122.645,122.718,122.358,122.446,13299.21,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,122.445,122.529,122.413,122.488,9437.0195,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,122.488,122.673,122.473,122.618,8783.9502,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,122.62,122.69,122.468,122.648,9681.21,2017-01-10,2017,1,10,122.678,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,122.648,122.786,122.609,122.763,10788.4297,2017-01-10,2017,1,10,122.678,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,122.761,122.928,122.657,122.7,12927.54,2017-01-10,2017,1,10,122.678,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,122.701,122.94,122.701,122.916,11236.3701,2017-01-10,2017,1,10,122.678,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,122.918,122.918,122.599,122.661,8850.71,2017-01-10,2017,1,10,122.678,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,122.663,122.763,122.624,122.643,7869.6899,2017-01-10,2017,1,10,122.678,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,122.643,122.856,122.563,122.817,11075.5498,2017-01-10,2017,1,10,122.678,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,122.819,122.918,122.717,122.747,11030.0,2017-01-11,2017,1,11,122.192,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,122.748,122.829,122.379,122.512,14007.1104,2017-01-11,2017,1,11,122.192,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,122.51,122.539,122.254,122.287,14271.4697,2017-01-11,2017,1,11,122.192,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,122.289,122.385,122.138,122.383,13228.5,2017-01-11,2017,1,11,122.192,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,122.382,122.492,122.321,122.336,9619.0098,2017-01-11,2017,1,11,122.192,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,122.339,122.388,122.171,122.187,6728.8198,2017-01-11,2017,1,11,122.192,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,122.188,122.264,122.149,122.214,8172.3398,2017-01-11,2017,1,11,122.192,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,122.214,122.244,122.108,122.132,5944.2402,2017-01-11,2017,1,11,122.192,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,122.132,122.243,122.121,122.169,3982.46,2017-01-11,2017,1,11,122.192,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,122.181,122.314,122.15,122.273,2650.46,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,122.273,122.287,122.216,122.268,4339.8301,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,122.269,122.415,122.147,122.379,8650.3896,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,122.379,122.53,122.369,122.428,10365.29,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,122.429,122.621,122.408,122.486,10818.5195,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
38,38,11.01.2017 14:00:00.000 GMT+1100,122.487,122.491,122.304,122.343,10017.9199,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
39,39,11.01.2017 15:00:00.000 GMT+1100,122.343,122.482,122.322,122.458,9154.21,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
40,40,11.01.2017 16:00:00.000 GMT+1100,122.458,122.5,122.315,122.338,8333.5898,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
41,41,11.01.2017 17:00:00.000 GMT+1100,122.339,122.546,122.289,122.446,8250.7402,2017-01-11,2017,1,11,122.192,2269.349,2269.349,2269.349,2269.349,0.0
