,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.50804,1.50804,1.50508,1.50682,8844.7197,2017-01-10,2017,01,10,1.50681
1,10.01.2017 01:00:00.000 GMT+1100,1.50679,1.50699,1.50468,1.50569,10049.5898,2017-01-10,2017,01,10,1.50681
2,10.01.2017 02:00:00.000 GMT+1100,1.50569,1.50757,1.50544,1.5070700000000001,9147.3799,2017-01-10,2017,01,10,1.50681
3,10.01.2017 03:00:00.000 GMT+1100,1.5070700000000001,1.50841,1.5041799999999999,1.50499,7543.1899,2017-01-10,2017,01,10,1.50681
4,10.01.2017 04:00:00.000 GMT+1100,1.50499,1.50534,1.50233,1.5032299999999998,4391.6401,2017-01-10,2017,01,10,1.50681
5,10.01.2017 05:00:00.000 GMT+1100,1.5031700000000001,1.5045,1.5031700000000001,1.5043799999999998,3549.1599,2017-01-10,2017,01,10,1.50681
6,10.01.2017 06:00:00.000 GMT+1100,1.5043799999999998,1.50748,1.5043,1.50718,3571.45,2017-01-10,2017,01,10,1.50681
7,10.01.2017 07:00:00.000 GMT+1100,1.50714,1.50749,1.50521,1.50673,3951.24,2017-01-10,2017,01,10,1.50681
8,10.01.2017 08:00:00.000 GMT+1100,1.50673,1.50731,1.50634,1.50679,1939.01,2017-01-10,2017,01,10,1.50681
9,10.01.2017 09:00:00.000 GMT+1100,1.50688,1.5083600000000001,1.50511,1.50784,1538.51,2017-01-10,2017,01,10,1.50681
10,10.01.2017 10:00:00.000 GMT+1100,1.50784,1.50995,1.5075,1.5091700000000001,3837.52,2017-01-10,2017,01,10,1.50681
11,10.01.2017 11:00:00.000 GMT+1100,1.5091700000000001,1.5105899999999999,1.50834,1.51053,5342.25,2017-01-10,2017,01,10,1.50681
12,10.01.2017 12:00:00.000 GMT+1100,1.51053,1.51054,1.50831,1.50868,5392.7598,2017-01-10,2017,01,10,1.50681
13,10.01.2017 13:00:00.000 GMT+1100,1.50865,1.50929,1.50614,1.50791,7873.3198,2017-01-10,2017,01,10,1.50681
14,10.01.2017 14:00:00.000 GMT+1100,1.5079799999999999,1.50857,1.5066899999999999,1.50789,8079.3501,2017-01-10,2017,01,10,1.50681
15,10.01.2017 15:00:00.000 GMT+1100,1.50784,1.5087700000000002,1.50747,1.50857,5117.8101,2017-01-10,2017,01,10,1.50681
16,10.01.2017 16:00:00.000 GMT+1100,1.50858,1.51001,1.50854,1.50908,5104.5601,2017-01-10,2017,01,10,1.50681
17,10.01.2017 17:00:00.000 GMT+1100,1.5091299999999999,1.50979,1.50827,1.50911,5417.6899,2017-01-10,2017,01,10,1.50681
18,10.01.2017 18:00:00.000 GMT+1100,1.50914,1.51189,1.5089299999999999,1.51129,6813.46,2017-01-10,2017,01,10,1.50681
19,10.01.2017 19:00:00.000 GMT+1100,1.51129,1.5139799999999999,1.5109700000000001,1.51134,10983.8301,2017-01-10,2017,01,10,1.50681
20,10.01.2017 20:00:00.000 GMT+1100,1.51134,1.5146899999999999,1.5110700000000001,1.5138200000000002,8902.7695,2017-01-10,2017,01,10,1.50681
21,10.01.2017 21:00:00.000 GMT+1100,1.5138200000000002,1.51417,1.5114299999999998,1.51199,6499.8398,2017-01-10,2017,01,10,1.50681
22,10.01.2017 22:00:00.000 GMT+1100,1.51199,1.51725,1.51171,1.51702,5710.6899,2017-01-10,2017,01,10,1.50681
23,10.01.2017 23:00:00.000 GMT+1100,1.51693,1.51912,1.5156100000000001,1.51698,7487.1099,2017-01-10,2017,01,10,1.50681
24,11.01.2017 00:00:00.000 GMT+1100,1.51693,1.51705,1.5150700000000001,1.51529,6903.1099,2017-01-11,2017,01,11,1.5100200000000001
25,11.01.2017 01:00:00.000 GMT+1100,1.51529,1.51609,1.5111,1.51373,10054.6602,2017-01-11,2017,01,11,1.5100200000000001
26,11.01.2017 02:00:00.000 GMT+1100,1.51373,1.5147899999999999,1.5122,1.51286,10141.04,2017-01-11,2017,01,11,1.5100200000000001
27,11.01.2017 03:00:00.000 GMT+1100,1.51286,1.51371,1.51088,1.51126,8601.4404,2017-01-11,2017,01,11,1.5100200000000001
28,11.01.2017 04:00:00.000 GMT+1100,1.51126,1.51189,1.51073,1.5111,5962.6899,2017-01-11,2017,01,11,1.5100200000000001
29,11.01.2017 05:00:00.000 GMT+1100,1.5111,1.51239,1.5111,1.51173,4325.3901,2017-01-11,2017,01,11,1.5100200000000001
30,11.01.2017 06:00:00.000 GMT+1100,1.5117399999999999,1.51209,1.5100200000000001,1.5102,4232.73,2017-01-11,2017,01,11,1.5100200000000001
31,11.01.2017 07:00:00.000 GMT+1100,1.51017,1.51102,1.50987,1.51052,3076.8999,2017-01-11,2017,01,11,1.5100200000000001
32,11.01.2017 08:00:00.000 GMT+1100,1.51052,1.51094,1.50909,1.5095399999999999,2277.1299,2017-01-11,2017,01,11,1.5100200000000001
33,11.01.2017 09:00:00.000 GMT+1100,1.5095399999999999,1.5109700000000001,1.50874,1.51075,1408.25,2017-01-11,2017,01,11,1.5100200000000001
34,11.01.2017 10:00:00.000 GMT+1100,1.51075,1.51108,1.50969,1.5110299999999999,2240.97,2017-01-11,2017,01,11,1.5100200000000001
35,11.01.2017 11:00:00.000 GMT+1100,1.5110299999999999,1.51419,1.5101200000000001,1.5123,4354.5498,2017-01-11,2017,01,11,1.5100200000000001
36,11.01.2017 12:00:00.000 GMT+1100,1.5123,1.51384,1.5105600000000001,1.5115399999999999,5691.6499,2017-01-11,2017,01,11,1.5100200000000001
37,11.01.2017 13:00:00.000 GMT+1100,1.5115399999999999,1.51176,1.50843,1.50876,5166.0498,2017-01-11,2017,01,11,1.5100200000000001
38,11.01.2017 14:00:00.000 GMT+1100,1.50881,1.50889,1.50623,1.50731,5413.8599,2017-01-11,2017,01,11,1.5100200000000001
39,11.01.2017 15:00:00.000 GMT+1100,1.5073,1.50889,1.5068700000000002,1.50889,4300.4702,2017-01-11,2017,01,11,1.5100200000000001
40,11.01.2017 16:00:00.000 GMT+1100,1.50889,1.50952,1.5071700000000001,1.50769,5193.2002,2017-01-11,2017,01,11,1.5100200000000001
41,11.01.2017 17:00:00.000 GMT+1100,1.50771,1.50916,1.50684,1.50702,5612.75,2017-01-11,2017,01,11,1.5100200000000001
42,11.01.2017 18:00:00.000 GMT+1100,1.50702,1.50922,1.50674,1.50778,5706.3799,2017-01-11,2017,01,11,1.5100200000000001
43,11.01.2017 19:00:00.000 GMT+1100,1.5077399999999999,1.5084899999999999,1.50326,1.50501,7195.5801,2017-01-11,2017,01,11,1.5100200000000001
44,11.01.2017 20:00:00.000 GMT+1100,1.505,1.50519,1.50233,1.5030700000000001,6567.02,2017-01-11,2017,01,11,1.5100200000000001
45,11.01.2017 21:00:00.000 GMT+1100,1.50306,1.5045899999999999,1.5027,1.5043,7032.0698,2017-01-11,2017,01,11,1.5100200000000001
46,11.01.2017 22:00:00.000 GMT+1100,1.5043,1.5045899999999999,1.50157,1.50223,5681.21,2017-01-11,2017,01,11,1.5100200000000001
47,11.01.2017 23:00:00.000 GMT+1100,1.50223,1.5033100000000001,1.50105,1.50209,7584.7202,2017-01-11,2017,01,11,1.5100200000000001
48,12.01.2017 00:00:00.000 GMT+1100,1.50209,1.50339,1.5015100000000001,1.50187,7674.8999,2017-01-12,2017,01,12,1.50016
49,12.01.2017 01:00:00.000 GMT+1100,1.50183,1.50199,1.49942,1.50095,9773.0,2017-01-12,2017,01,12,1.50016
50,12.01.2017 02:00:00.000 GMT+1100,1.50098,1.50279,1.50033,1.50079,12758.0596,2017-01-12,2017,01,12,1.50016
51,12.01.2017 03:00:00.000 GMT+1100,1.50081,1.50129,1.4975,1.49853,20049.5,2017-01-12,2017,01,12,1.50016
52,12.01.2017 04:00:00.000 GMT+1100,1.49853,1.49999,1.49706,1.49936,16407.5391,2017-01-12,2017,01,12,1.50016
53,12.01.2017 05:00:00.000 GMT+1100,1.49936,1.50109,1.49704,1.50094,17842.3594,2017-01-12,2017,01,12,1.50016
54,12.01.2017 06:00:00.000 GMT+1100,1.50099,1.5018799999999999,1.4995399999999999,1.49963,10617.0498,2017-01-12,2017,01,12,1.50016
55,12.01.2017 07:00:00.000 GMT+1100,1.49963,1.5002799999999998,1.4988,1.49926,6182.73,2017-01-12,2017,01,12,1.50016
56,12.01.2017 08:00:00.000 GMT+1100,1.49921,1.50039,1.49921,1.50003,2912.8899,2017-01-12,2017,01,12,1.50016
