,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.50804,1.50804,1.50508,1.50682,8844.7197,2017-01-10,2017,1,10,1.50681,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.50679,1.50699,1.50468,1.50569,10049.5898,2017-01-10,2017,1,10,1.50681,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.50569,1.50757,1.50544,1.50707,9147.3799,2017-01-10,2017,1,10,1.50681,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.50707,1.50841,1.50418,1.50499,7543.1899,2017-01-10,2017,1,10,1.50681,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.50499,1.50534,1.50233,1.5032299999999998,4391.6401,2017-01-10,2017,1,10,1.50681,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.50317,1.5045,1.50317,1.5043799999999998,3549.1599,2017-01-10,2017,1,10,1.50681,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.5043799999999998,1.50748,1.5043,1.50718,3571.45,2017-01-10,2017,1,10,1.50681,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.50714,1.50749,1.50521,1.50673,3951.24,2017-01-10,2017,1,10,1.50681,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.50673,1.50731,1.50634,1.50679,1939.01,2017-01-10,2017,1,10,1.50681,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.50688,1.50836,1.50511,1.50784,1538.51,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.50784,1.50995,1.5075,1.50917,3837.52,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.50917,1.51059,1.50834,1.51053,5342.25,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.51053,1.51054,1.50831,1.50868,5392.7598,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.50865,1.50929,1.50614,1.50791,7873.3198,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.50798,1.50857,1.50669,1.50789,8079.3501,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.50784,1.5087700000000002,1.50747,1.50857,5117.8101,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.50858,1.51001,1.50854,1.50908,5104.5601,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.50913,1.50979,1.50827,1.50911,5417.6899,2017-01-10,2017,1,10,1.50681,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.50914,1.51189,1.50893,1.51129,6813.46,2017-01-10,2017,1,10,1.50681,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.51129,1.51398,1.51097,1.51134,10983.8301,2017-01-10,2017,1,10,1.50681,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.51134,1.51469,1.51107,1.5138200000000002,8902.7695,2017-01-10,2017,1,10,1.50681,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.5138200000000002,1.51417,1.5114299999999998,1.51199,6499.8398,2017-01-10,2017,1,10,1.50681,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.51199,1.51725,1.51171,1.51702,5710.6899,2017-01-10,2017,1,10,1.50681,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.51693,1.51912,1.51561,1.51698,7487.1099,2017-01-10,2017,1,10,1.50681,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,1.51693,1.51705,1.51507,1.51529,6903.1099,2017-01-11,2017,1,11,1.51002,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,1.51529,1.51609,1.5111,1.51373,10054.6602,2017-01-11,2017,1,11,1.51002,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,1.51373,1.51479,1.5122,1.51286,10141.04,2017-01-11,2017,1,11,1.51002,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,1.51286,1.51371,1.51088,1.51126,8601.4404,2017-01-11,2017,1,11,1.51002,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,1.51126,1.51189,1.51073,1.5111,5962.6899,2017-01-11,2017,1,11,1.51002,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,1.5111,1.51239,1.5111,1.51173,4325.3901,2017-01-11,2017,1,11,1.51002,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,1.51174,1.51209,1.51002,1.5102,4232.73,2017-01-11,2017,1,11,1.51002,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,1.51017,1.51102,1.50987,1.51052,3076.8999,2017-01-11,2017,1,11,1.51002,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,1.51052,1.51094,1.50909,1.50954,2277.1299,2017-01-11,2017,1,11,1.51002,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,1.50954,1.51097,1.50874,1.51075,1408.25,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,1.51075,1.51108,1.50969,1.51103,2240.97,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,1.51103,1.51419,1.51012,1.5123,4354.5498,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,1.5123,1.51384,1.51056,1.51154,5691.6499,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,1.51154,1.51176,1.50843,1.50876,5166.0498,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
38,38,11.01.2017 14:00:00.000 GMT+1100,1.50881,1.50889,1.50623,1.50731,5413.8599,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
39,39,11.01.2017 15:00:00.000 GMT+1100,1.5073,1.50889,1.5068700000000002,1.50889,4300.4702,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
40,40,11.01.2017 16:00:00.000 GMT+1100,1.50889,1.50952,1.50717,1.50769,5193.2002,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
41,41,11.01.2017 17:00:00.000 GMT+1100,1.50771,1.50916,1.50684,1.50702,5612.75,2017-01-11,2017,1,11,1.51002,2269.349,2269.349,2269.349,2269.349,0.0
42,42,11.01.2017 18:00:00.000 GMT+1100,1.50702,1.50922,1.50674,1.50778,5706.3799,2017-01-11,2017,1,11,1.51002,2267.27,2268.09,2267.124,2267.589,0.4633
43,43,11.01.2017 19:00:00.000 GMT+1100,1.50774,1.50849,1.50326,1.50501,7195.5801,2017-01-11,2017,1,11,1.51002,2267.813,2268.59,2265.09,2265.589,0.9219
44,44,11.01.2017 20:00:00.000 GMT+1100,1.505,1.50519,1.50233,1.50307,6567.02,2017-01-11,2017,1,11,1.51002,2265.589,2270.09,2265.339,2269.839,1.2845
45,45,11.01.2017 21:00:00.000 GMT+1100,1.50306,1.50459,1.5027,1.5043,7032.0698,2017-01-11,2017,1,11,1.51002,2269.839,2270.34,2269.089,2269.6,1.1416
46,46,11.01.2017 22:00:00.000 GMT+1100,1.5043,1.50459,1.50157,1.50223,5681.21,2017-01-11,2017,1,11,1.51002,2269.59,2270.6,2268.339,2270.52,1.0415
47,47,11.01.2017 23:00:00.000 GMT+1100,1.50223,1.50331,1.50105,1.50209,7584.7202,2017-01-11,2017,1,11,1.51002,2270.52,2270.6,2266.349,2266.349,1.3163
48,48,12.01.2017 00:00:00.000 GMT+1100,1.50209,1.50339,1.50151,1.50187,7674.8999,2017-01-12,2017,1,12,1.50016,2266.349,2267.64,2266.02,2267.129,1.2394
49,49,12.01.2017 01:00:00.000 GMT+1100,1.50183,1.50199,1.49942,1.50095,9773.0,2017-01-12,2017,1,12,1.50016,2267.13,2272.6,2267.099,2272.35,2.426
50,50,12.01.2017 02:00:00.000 GMT+1100,1.50098,1.50279,1.50033,1.50079,12758.0596,2017-01-12,2017,1,12,1.50016,2272.35,2274.11,2269.339,2271.34,3.1195
51,51,12.01.2017 03:00:00.000 GMT+1100,1.50081,1.50129,1.4975,1.49853,20049.5,2017-01-12,2017,1,12,1.50016,2271.34,2274.84,2260.35,2271.349,4.3193
52,52,12.01.2017 04:00:00.000 GMT+1100,1.49853,1.49999,1.49706,1.49936,16407.5391,2017-01-12,2017,1,12,1.50016,2271.349,2272.85,2262.79,2267.349,3.1175
53,53,12.01.2017 05:00:00.000 GMT+1100,1.49936,1.50109,1.49704,1.50094,17842.3594,2017-01-12,2017,1,12,1.50016,2267.09,2269.1,2260.599,2267.85,2.6598
54,54,12.01.2017 06:00:00.000 GMT+1100,1.50099,1.50188,1.49954,1.49963,10617.0498,2017-01-12,2017,1,12,1.50016,2268.099,2272.1,2266.879,2271.02,2.2252
55,55,12.01.2017 07:00:00.000 GMT+1100,1.49963,1.5002799999999998,1.4988,1.49926,6182.73,2017-01-12,2017,1,12,1.50016,2271.02,2275.09,2270.839,2275.089,2.0566
56,56,12.01.2017 08:00:00.000 GMT+1100,1.49921,1.50039,1.49921,1.50003,2912.8899,2017-01-12,2017,1,12,1.50016,2275.34,2275.59,2275.019,2275.589,0.0028
57,57,12.01.2017 09:00:00.000 GMT+1100,1.50008,1.50008,1.49823,1.49978,1303.75,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
58,58,12.01.2017 10:00:00.000 GMT+1100,1.49978,1.50016,1.49817,1.49938,4005.3101,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
59,59,12.01.2017 11:00:00.000 GMT+1100,1.49934,1.50003,1.49843,1.49967,7819.2798,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
60,60,12.01.2017 12:00:00.000 GMT+1100,1.49967,1.50122,1.49936,1.49937,7511.5698,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
61,61,12.01.2017 13:00:00.000 GMT+1100,1.49937,1.4995,1.49694,1.49919,8941.5303,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
62,62,12.01.2017 14:00:00.000 GMT+1100,1.49919,1.49963,1.49853,1.499,6370.9302,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
63,63,12.01.2017 15:00:00.000 GMT+1100,1.49896,1.49956,1.4977,1.49784,5330.9199,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
64,64,12.01.2017 16:00:00.000 GMT+1100,1.49789,1.49913,1.49773,1.49826,4522.46,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
65,65,12.01.2017 17:00:00.000 GMT+1100,1.4982799999999998,1.49916,1.49683,1.49899,7035.7998,2017-01-12,2017,1,12,1.50016,2275.589,2275.589,2275.589,2275.589,0.0
66,66,12.01.2017 18:00:00.000 GMT+1100,1.49894,1.49929,1.4966700000000002,1.49668,8449.21,2017-01-12,2017,1,12,1.50016,2269.969,2270.349,2268.09,2268.09,1.0178
67,67,12.01.2017 19:00:00.000 GMT+1100,1.49668,1.4976200000000002,1.49385,1.4951,12616.2998,2017-01-12,2017,1,12,1.50016,2268.09,2269.09,2265.952,2266.589,2.1617
