,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.51406,1.5156,1.51223,1.51492,8825.0996,2017-01-10,2017,01,10,1.5183799999999998
1,10.01.2017 01:00:00.000 GMT+1100,1.51488,1.51532,1.5127700000000002,1.5137200000000002,10462.1699,2017-01-10,2017,01,10,1.5183799999999998
2,10.01.2017 02:00:00.000 GMT+1100,1.5137200000000002,1.51702,1.51349,1.51657,9235.8398,2017-01-10,2017,01,10,1.5183799999999998
3,10.01.2017 03:00:00.000 GMT+1100,1.51661,1.51834,1.51607,1.51708,7938.0601,2017-01-10,2017,01,10,1.5183799999999998
4,10.01.2017 04:00:00.000 GMT+1100,1.51704,1.5176399999999999,1.51511,1.5161,4593.2798,2017-01-10,2017,01,10,1.5183799999999998
5,10.01.2017 05:00:00.000 GMT+1100,1.5161,1.51692,1.51509,1.51562,2743.95,2017-01-10,2017,01,10,1.5183799999999998
6,10.01.2017 06:00:00.000 GMT+1100,1.51562,1.51747,1.5138,1.51705,2647.8,2017-01-10,2017,01,10,1.5183799999999998
7,10.01.2017 07:00:00.000 GMT+1100,1.51715,1.51722,1.5147700000000002,1.51712,3376.1699,2017-01-10,2017,01,10,1.5183799999999998
8,10.01.2017 08:00:00.000 GMT+1100,1.51709,1.51841,1.51684,1.5181200000000001,1443.54,2017-01-10,2017,01,10,1.5183799999999998
9,10.01.2017 09:00:00.000 GMT+1100,1.51775,1.5199200000000002,1.51625,1.5187899999999999,988.44,2017-01-10,2017,01,10,1.5183799999999998
10,10.01.2017 10:00:00.000 GMT+1100,1.51878,1.51988,1.51852,1.51872,1420.3199,2017-01-10,2017,01,10,1.5183799999999998
11,10.01.2017 11:00:00.000 GMT+1100,1.51871,1.52094,1.51814,1.52067,3637.6399,2017-01-10,2017,01,10,1.5183799999999998
12,10.01.2017 12:00:00.000 GMT+1100,1.52068,1.52116,1.51948,1.5197100000000001,4467.52,2017-01-10,2017,01,10,1.5183799999999998
13,10.01.2017 13:00:00.000 GMT+1100,1.51965,1.52047,1.51919,1.5198399999999999,6422.52,2017-01-10,2017,01,10,1.5183799999999998
14,10.01.2017 14:00:00.000 GMT+1100,1.5198399999999999,1.5216100000000001,1.51901,1.52067,5814.98,2017-01-10,2017,01,10,1.5183799999999998
15,10.01.2017 15:00:00.000 GMT+1100,1.5206600000000001,1.5215,1.5205,1.52088,3320.8,2017-01-10,2017,01,10,1.5183799999999998
16,10.01.2017 16:00:00.000 GMT+1100,1.5208899999999999,1.52119,1.52,1.52051,3627.8101,2017-01-10,2017,01,10,1.5183799999999998
17,10.01.2017 17:00:00.000 GMT+1100,1.52047,1.52074,1.51915,1.5197399999999999,4177.8901,2017-01-10,2017,01,10,1.5183799999999998
18,10.01.2017 18:00:00.000 GMT+1100,1.51977,1.52111,1.51914,1.52011,6439.9199,2017-01-10,2017,01,10,1.5183799999999998
19,10.01.2017 19:00:00.000 GMT+1100,1.5201200000000001,1.52357,1.51942,1.52138,8646.9297,2017-01-10,2017,01,10,1.5183799999999998
20,10.01.2017 20:00:00.000 GMT+1100,1.52138,1.5220799999999999,1.5204600000000001,1.52124,6515.8101,2017-01-10,2017,01,10,1.5183799999999998
21,10.01.2017 21:00:00.000 GMT+1100,1.52125,1.52134,1.51891,1.52026,5714.8501,2017-01-10,2017,01,10,1.5183799999999998
22,10.01.2017 22:00:00.000 GMT+1100,1.52027,1.5207899999999999,1.51904,1.51912,5067.8599,2017-01-10,2017,01,10,1.5183799999999998
23,10.01.2017 23:00:00.000 GMT+1100,1.5191299999999999,1.5202,1.5177100000000001,1.51884,6311.96,2017-01-10,2017,01,10,1.5183799999999998
24,11.01.2017 00:00:00.000 GMT+1100,1.51883,1.51954,1.518,1.51906,7058.6299,2017-01-11,2017,01,11,1.51576
25,11.01.2017 01:00:00.000 GMT+1100,1.5190700000000001,1.52049,1.51793,1.5197,8814.4404,2017-01-11,2017,01,11,1.51576
26,11.01.2017 02:00:00.000 GMT+1100,1.51967,1.52011,1.51735,1.51809,11324.79,2017-01-11,2017,01,11,1.51576
27,11.01.2017 03:00:00.000 GMT+1100,1.51811,1.5190299999999999,1.51639,1.51684,8646.2305,2017-01-11,2017,01,11,1.51576
28,11.01.2017 04:00:00.000 GMT+1100,1.51683,1.51715,1.5155100000000001,1.51633,5801.6299,2017-01-11,2017,01,11,1.51576
29,11.01.2017 05:00:00.000 GMT+1100,1.51631,1.51671,1.51567,1.51596,3874.22,2017-01-11,2017,01,11,1.51576
30,11.01.2017 06:00:00.000 GMT+1100,1.5159799999999999,1.5164,1.51549,1.51567,3600.3601,2017-01-11,2017,01,11,1.51576
31,11.01.2017 07:00:00.000 GMT+1100,1.51565,1.516,1.51547,1.5159200000000002,2753.6699,2017-01-11,2017,01,11,1.51576
32,11.01.2017 08:00:00.000 GMT+1100,1.51591,1.51643,1.51492,1.5157100000000001,2165.99,2017-01-11,2017,01,11,1.51576
33,11.01.2017 09:00:00.000 GMT+1100,1.51565,1.5164,1.51436,1.51583,2247.0,2017-01-11,2017,01,11,1.51576
34,11.01.2017 10:00:00.000 GMT+1100,1.5158200000000002,1.5165600000000001,1.51556,1.51645,2431.5,2017-01-11,2017,01,11,1.51576
35,11.01.2017 11:00:00.000 GMT+1100,1.51643,1.51747,1.51568,1.5171,5568.6802,2017-01-11,2017,01,11,1.51576
36,11.01.2017 12:00:00.000 GMT+1100,1.51709,1.51813,1.51645,1.5168,6314.73,2017-01-11,2017,01,11,1.51576
37,11.01.2017 13:00:00.000 GMT+1100,1.51681,1.51746,1.51462,1.51512,5614.3599,2017-01-11,2017,01,11,1.51576
38,11.01.2017 14:00:00.000 GMT+1100,1.51514,1.5152,1.51288,1.51349,5906.2402,2017-01-11,2017,01,11,1.51576
39,11.01.2017 15:00:00.000 GMT+1100,1.51349,1.51455,1.51318,1.51406,4815.1699,2017-01-11,2017,01,11,1.51576
40,11.01.2017 16:00:00.000 GMT+1100,1.51404,1.51464,1.51362,1.51442,4831.7002,2017-01-11,2017,01,11,1.51576
41,11.01.2017 17:00:00.000 GMT+1100,1.51441,1.51625,1.51421,1.51546,5397.8701,2017-01-11,2017,01,11,1.51576
42,11.01.2017 18:00:00.000 GMT+1100,1.51548,1.51655,1.51482,1.51617,6455.8799,2017-01-11,2017,01,11,1.51576
43,11.01.2017 19:00:00.000 GMT+1100,1.51615,1.51664,1.51461,1.5165799999999998,7867.3301,2017-01-11,2017,01,11,1.51576
44,11.01.2017 20:00:00.000 GMT+1100,1.5166,1.51667,1.51407,1.51473,7078.6699,2017-01-11,2017,01,11,1.51576
45,11.01.2017 21:00:00.000 GMT+1100,1.51473,1.51483,1.51223,1.51299,6972.48,2017-01-11,2017,01,11,1.51576
46,11.01.2017 22:00:00.000 GMT+1100,1.513,1.51318,1.5117,1.51177,6829.3799,2017-01-11,2017,01,11,1.51576
47,11.01.2017 23:00:00.000 GMT+1100,1.51178,1.51194,1.51052,1.51081,8567.1797,2017-01-11,2017,01,11,1.51576
48,12.01.2017 00:00:00.000 GMT+1100,1.51083,1.51179,1.51004,1.511,9296.1396,2017-01-12,2017,01,12,1.5100200000000001
49,12.01.2017 01:00:00.000 GMT+1100,1.51102,1.51131,1.5077,1.5084600000000001,10416.3496,2017-01-12,2017,01,12,1.5100200000000001
50,12.01.2017 02:00:00.000 GMT+1100,1.5084899999999999,1.5089,1.50605,1.50635,12107.8896,2017-01-12,2017,01,12,1.5100200000000001
51,12.01.2017 03:00:00.000 GMT+1100,1.50639,1.50991,1.50488,1.50793,17398.0195,2017-01-12,2017,01,12,1.5100200000000001
52,12.01.2017 04:00:00.000 GMT+1100,1.50795,1.5133,1.5045,1.51094,16273.5498,2017-01-12,2017,01,12,1.5100200000000001
53,12.01.2017 05:00:00.000 GMT+1100,1.51098,1.51445,1.50991,1.5131,16837.7598,2017-01-12,2017,01,12,1.5100200000000001
54,12.01.2017 06:00:00.000 GMT+1100,1.51315,1.5145600000000001,1.51033,1.51134,10118.2402,2017-01-12,2017,01,12,1.5100200000000001
