,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.51406,1.5156,1.51223,1.51492,8825.0996,2017-01-10,2017,1,10,1.5183799999999998,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.51488,1.51532,1.5127700000000002,1.5137200000000002,10462.1699,2017-01-10,2017,1,10,1.5183799999999998,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.5137200000000002,1.51702,1.51349,1.51657,9235.8398,2017-01-10,2017,1,10,1.5183799999999998,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.51661,1.51834,1.51607,1.51708,7938.0601,2017-01-10,2017,1,10,1.5183799999999998,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.51704,1.51764,1.51511,1.5161,4593.2798,2017-01-10,2017,1,10,1.5183799999999998,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.5161,1.51692,1.51509,1.51562,2743.95,2017-01-10,2017,1,10,1.5183799999999998,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.51562,1.51747,1.5138,1.51705,2647.8,2017-01-10,2017,1,10,1.5183799999999998,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.51715,1.51722,1.5147700000000002,1.51712,3376.1699,2017-01-10,2017,1,10,1.5183799999999998,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.51709,1.51841,1.51684,1.51812,1443.54,2017-01-10,2017,1,10,1.5183799999999998,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.51775,1.5199200000000002,1.51625,1.51879,988.44,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.51878,1.51988,1.51852,1.51872,1420.3199,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.51871,1.52094,1.51814,1.52067,3637.6399,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.52068,1.52116,1.51948,1.51971,4467.52,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.51965,1.52047,1.51919,1.51984,6422.52,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.51984,1.52161,1.51901,1.52067,5814.98,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.52066,1.5215,1.5205,1.52088,3320.8,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.52089,1.52119,1.52,1.52051,3627.8101,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.52047,1.52074,1.51915,1.51974,4177.8901,2017-01-10,2017,1,10,1.5183799999999998,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.51977,1.52111,1.51914,1.52011,6439.9199,2017-01-10,2017,1,10,1.5183799999999998,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.52012,1.52357,1.51942,1.52138,8646.9297,2017-01-10,2017,1,10,1.5183799999999998,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.52138,1.52208,1.52046,1.52124,6515.8101,2017-01-10,2017,1,10,1.5183799999999998,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.52125,1.52134,1.51891,1.52026,5714.8501,2017-01-10,2017,1,10,1.5183799999999998,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.52027,1.52079,1.51904,1.51912,5067.8599,2017-01-10,2017,1,10,1.5183799999999998,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.51913,1.5202,1.51771,1.51884,6311.96,2017-01-10,2017,1,10,1.5183799999999998,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,1.51883,1.51954,1.518,1.51906,7058.6299,2017-01-11,2017,1,11,1.51576,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,1.51907,1.52049,1.51793,1.5197,8814.4404,2017-01-11,2017,1,11,1.51576,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,1.51967,1.52011,1.51735,1.51809,11324.79,2017-01-11,2017,1,11,1.51576,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,1.51811,1.51903,1.51639,1.51684,8646.2305,2017-01-11,2017,1,11,1.51576,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,1.51683,1.51715,1.51551,1.51633,5801.6299,2017-01-11,2017,1,11,1.51576,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,1.51631,1.51671,1.51567,1.51596,3874.22,2017-01-11,2017,1,11,1.51576,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,1.51598,1.5164,1.51549,1.51567,3600.3601,2017-01-11,2017,1,11,1.51576,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,1.51565,1.516,1.51547,1.5159200000000002,2753.6699,2017-01-11,2017,1,11,1.51576,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,1.51591,1.51643,1.51492,1.51571,2165.99,2017-01-11,2017,1,11,1.51576,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,1.51565,1.5164,1.51436,1.51583,2247.0,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,1.5158200000000002,1.51656,1.51556,1.51645,2431.5,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,1.51643,1.51747,1.51568,1.5171,5568.6802,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,1.51709,1.51813,1.51645,1.5168,6314.73,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,1.51681,1.51746,1.51462,1.51512,5614.3599,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
38,38,11.01.2017 14:00:00.000 GMT+1100,1.51514,1.5152,1.51288,1.51349,5906.2402,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
39,39,11.01.2017 15:00:00.000 GMT+1100,1.51349,1.51455,1.51318,1.51406,4815.1699,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
40,40,11.01.2017 16:00:00.000 GMT+1100,1.51404,1.51464,1.51362,1.51442,4831.7002,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
41,41,11.01.2017 17:00:00.000 GMT+1100,1.51441,1.51625,1.51421,1.51546,5397.8701,2017-01-11,2017,1,11,1.51576,2269.349,2269.349,2269.349,2269.349,0.0
42,42,11.01.2017 18:00:00.000 GMT+1100,1.51548,1.51655,1.51482,1.51617,6455.8799,2017-01-11,2017,1,11,1.51576,2267.27,2268.09,2267.124,2267.589,0.4633
43,43,11.01.2017 19:00:00.000 GMT+1100,1.51615,1.51664,1.51461,1.5165799999999998,7867.3301,2017-01-11,2017,1,11,1.51576,2267.813,2268.59,2265.09,2265.589,0.9219
44,44,11.01.2017 20:00:00.000 GMT+1100,1.5166,1.51667,1.51407,1.51473,7078.6699,2017-01-11,2017,1,11,1.51576,2265.589,2270.09,2265.339,2269.839,1.2845
45,45,11.01.2017 21:00:00.000 GMT+1100,1.51473,1.51483,1.51223,1.51299,6972.48,2017-01-11,2017,1,11,1.51576,2269.839,2270.34,2269.089,2269.6,1.1416
46,46,11.01.2017 22:00:00.000 GMT+1100,1.5130000000000001,1.51318,1.5117,1.51177,6829.3799,2017-01-11,2017,1,11,1.51576,2269.59,2270.6,2268.339,2270.52,1.0415
47,47,11.01.2017 23:00:00.000 GMT+1100,1.51178,1.51194,1.51052,1.51081,8567.1797,2017-01-11,2017,1,11,1.51576,2270.52,2270.6,2266.349,2266.349,1.3163
48,48,12.01.2017 00:00:00.000 GMT+1100,1.51083,1.51179,1.51004,1.511,9296.1396,2017-01-12,2017,1,12,1.51002,2266.349,2267.64,2266.02,2267.129,1.2394
49,49,12.01.2017 01:00:00.000 GMT+1100,1.51102,1.51131,1.5077,1.50846,10416.3496,2017-01-12,2017,1,12,1.51002,2267.13,2272.6,2267.099,2272.35,2.426
50,50,12.01.2017 02:00:00.000 GMT+1100,1.50849,1.5089,1.50605,1.50635,12107.8896,2017-01-12,2017,1,12,1.51002,2272.35,2274.11,2269.339,2271.34,3.1195
51,51,12.01.2017 03:00:00.000 GMT+1100,1.50639,1.50991,1.50488,1.50793,17398.0195,2017-01-12,2017,1,12,1.51002,2271.34,2274.84,2260.35,2271.349,4.3193
52,52,12.01.2017 04:00:00.000 GMT+1100,1.50795,1.5133,1.5045,1.51094,16273.5498,2017-01-12,2017,1,12,1.51002,2271.349,2272.85,2262.79,2267.349,3.1175
53,53,12.01.2017 05:00:00.000 GMT+1100,1.51098,1.51445,1.50991,1.5131,16837.7598,2017-01-12,2017,1,12,1.51002,2267.09,2269.1,2260.599,2267.85,2.6598
54,54,12.01.2017 06:00:00.000 GMT+1100,1.51315,1.51456,1.51033,1.51134,10118.2402,2017-01-12,2017,1,12,1.51002,2268.099,2272.1,2266.879,2271.02,2.2252
55,55,12.01.2017 07:00:00.000 GMT+1100,1.51132,1.5119999999999998,1.50978,1.50995,5607.6099,2017-01-12,2017,1,12,1.51002,2271.02,2275.09,2270.839,2275.089,2.0566
56,56,12.01.2017 08:00:00.000 GMT+1100,1.50988,1.51124,1.50921,1.50967,3258.54,2017-01-12,2017,1,12,1.51002,2275.34,2275.59,2275.019,2275.589,0.0028
57,57,12.01.2017 09:00:00.000 GMT+1100,1.50967,1.50981,1.50821,1.50977,2216.8301,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
58,58,12.01.2017 10:00:00.000 GMT+1100,1.5098,1.51163,1.5093299999999998,1.50994,4049.1499,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
59,59,12.01.2017 11:00:00.000 GMT+1100,1.50996,1.5117200000000002,1.50962,1.51122,8195.71,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
60,60,12.01.2017 12:00:00.000 GMT+1100,1.51119,1.5125,1.5109,1.51161,6824.1401,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
61,61,12.01.2017 13:00:00.000 GMT+1100,1.5116,1.51408,1.51139,1.51325,8196.0195,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
62,62,12.01.2017 14:00:00.000 GMT+1100,1.51325,1.51484,1.51251,1.51422,6963.0498,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
63,63,12.01.2017 15:00:00.000 GMT+1100,1.5142,1.51479,1.51391,1.51406,5478.5801,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
64,64,12.01.2017 16:00:00.000 GMT+1100,1.51405,1.51521,1.51369,1.51516,4636.3198,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
65,65,12.01.2017 17:00:00.000 GMT+1100,1.51521,1.51786,1.51453,1.51756,7586.4399,2017-01-12,2017,1,12,1.51002,2275.589,2275.589,2275.589,2275.589,0.0
66,66,12.01.2017 18:00:00.000 GMT+1100,1.51751,1.51868,1.51607,1.51623,9638.6699,2017-01-12,2017,1,12,1.51002,2269.969,2270.349,2268.09,2268.09,1.0178
67,67,12.01.2017 19:00:00.000 GMT+1100,1.51624,1.51937,1.51591,1.51739,12544.5801,2017-01-12,2017,1,12,1.51002,2268.09,2269.09,2265.952,2266.589,2.1617
68,68,12.01.2017 20:00:00.000 GMT+1100,1.51738,1.51768,1.51493,1.51619,11519.96,2017-01-12,2017,1,12,1.51002,2266.339,2269.35,2265.476,2268.6,1.6369
69,69,12.01.2017 21:00:00.000 GMT+1100,1.5162,1.51661,1.51435,1.51652,9439.2695,2017-01-12,2017,1,12,1.51002,2268.6,2270.099,2267.871,2268.849,1.1942
70,70,12.01.2017 22:00:00.000 GMT+1100,1.51653,1.51747,1.51617,1.51719,7818.5,2017-01-12,2017,1,12,1.51002,2268.849,2270.099,2268.339,2269.35,1.1477
71,71,12.01.2017 23:00:00.000 GMT+1100,1.51727,1.5198,1.51684,1.5189,10725.4404,2017-01-12,2017,1,12,1.51002,2269.34,2270.62,2268.161,2270.59,1.393
72,72,13.01.2017 00:00:00.000 GMT+1100,1.51893,1.51956,1.51664,1.51746,12648.0195,2017-01-13,2017,1,13,1.51464,2270.59,2271.09,2268.794,2270.339,1.2035
73,73,13.01.2017 01:00:00.000 GMT+1100,1.51745,1.5181,1.51564,1.51778,12558.0098,2017-01-13,2017,1,13,1.51464,2270.339,2270.849,2263.07,2264.589,2.3088
74,74,13.01.2017 02:00:00.000 GMT+1100,1.51776,1.51905,1.51563,1.51762,13861.04,2017-01-13,2017,1,13,1.51464,2264.34,2264.85,2256.089,2256.97,3.1857
75,75,13.01.2017 03:00:00.000 GMT+1100,1.51762,1.51834,1.51639,1.51668,10832.7002,2017-01-13,2017,1,13,1.51464,2256.97,2259.6,2253.849,2257.599,2.8001
76,76,13.01.2017 04:00:00.000 GMT+1100,1.51669,1.51719,1.51452,1.51501,6533.5,2017-01-13,2017,1,13,1.51464,2257.599,2265.34,2257.339,2264.09,2.2807
77,77,13.01.2017 05:00:00.000 GMT+1100,1.51498,1.51552,1.51384,1.51513,7512.27,2017-01-13,2017,1,13,1.51464,2264.09,2268.34,2263.252,2267.339,2.076
78,78,13.01.2017 06:00:00.000 GMT+1100,1.51513,1.51526,1.51377,1.51497,5664.0298,2017-01-13,2017,1,13,1.51464,2267.123,2271.089,2266.339,2270.589,1.5105
79,79,13.01.2017 07:00:00.000 GMT+1100,1.5149,1.51581,1.51313,1.51573,4966.5098,2017-01-13,2017,1,13,1.51464,2270.589,2272.349,2267.589,2270.599,1.7272
80,80,13.01.2017 08:00:00.000 GMT+1100,1.51571,1.51584,1.51404,1.51431,1715.05,2017-01-13,2017,1,13,1.51464,2270.349,2270.35,2270.099,2270.099,0.0029
81,81,13.01.2017 09:00:00.000 GMT+1100,1.51424,1.5154299999999998,1.51313,1.5144799999999998,1971.35,2017-01-13,2017,1,13,1.51464,2270.099,2270.099,2270.099,2270.099,0.0
82,82,13.01.2017 10:00:00.000 GMT+1100,1.5144799999999998,1.5153299999999998,1.51279,1.5141,4307.9902,2017-01-13,2017,1,13,1.51464,2270.099,2270.099,2270.099,2270.099,0.0
