,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.65867,1.65883,1.65365,1.65437,11962.0303,2017-01-10,2017,1,10,1.6537,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.65432,1.65602,1.6521099999999995,1.65333,12965.3701,2017-01-10,2017,1,10,1.6537,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.65333,1.65799,1.6528900000000002,1.65336,12212.2803,2017-01-10,2017,1,10,1.6537,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.6533799999999998,1.65705,1.6515400000000002,1.6520400000000002,12364.71,2017-01-10,2017,1,10,1.6537,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.6520400000000002,1.6528,1.6506599999999998,1.65117,9048.5195,2017-01-10,2017,1,10,1.6537,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.65117,1.65186,1.64996,1.65175,6772.25,2017-01-10,2017,1,10,1.6537,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.65179,1.6525900000000002,1.65137,1.6525900000000002,6293.1802,2017-01-10,2017,1,10,1.6537,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.65257,1.6530599999999998,1.6516099999999998,1.6529900000000002,5113.8398,2017-01-10,2017,1,10,1.6537,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.65305,1.65406,1.6527599999999998,1.65337,3334.52,2017-01-10,2017,1,10,1.6537,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.65356,1.65412,1.65093,1.65375,2355.45,2017-01-10,2017,1,10,1.6537,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.65377,1.65488,1.65303,1.65431,4770.6802,2017-01-10,2017,1,10,1.6537,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.6543599999999998,1.65547,1.6524599999999998,1.65497,6636.1699,2017-01-10,2017,1,10,1.6537,2270.1,2270.1,2270.1,2270.1,0.0
