,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.6118,1.61235,1.60683,1.60693,11138.3701,2017-01-10,2017,01,10,1.6071600000000001
1,10.01.2017 01:00:00.000 GMT+1100,1.60689,1.61107,1.60689,1.60899,11510.7402,2017-01-10,2017,01,10,1.6071600000000001
2,10.01.2017 02:00:00.000 GMT+1100,1.609,1.61134,1.60343,1.60476,11101.0,2017-01-10,2017,01,10,1.6071600000000001
3,10.01.2017 03:00:00.000 GMT+1100,1.60481,1.61018,1.60481,1.6082299999999998,11578.6201,2017-01-10,2017,01,10,1.6071600000000001
4,10.01.2017 04:00:00.000 GMT+1100,1.6082100000000001,1.60877,1.60584,1.60745,9059.1699,2017-01-10,2017,01,10,1.6071600000000001
5,10.01.2017 05:00:00.000 GMT+1100,1.60742,1.60801,1.60651,1.60789,7617.7402,2017-01-10,2017,01,10,1.6071600000000001
6,10.01.2017 06:00:00.000 GMT+1100,1.60795,1.60915,1.60753,1.6088799999999999,7020.29,2017-01-10,2017,01,10,1.6071600000000001
7,10.01.2017 07:00:00.000 GMT+1100,1.60886,1.60889,1.60738,1.60884,5696.9902,2017-01-10,2017,01,10,1.6071600000000001
8,10.01.2017 08:00:00.000 GMT+1100,1.6088200000000001,1.60966,1.60658,1.6068799999999999,3080.71,2017-01-10,2017,01,10,1.6071600000000001
9,10.01.2017 09:00:00.000 GMT+1100,1.60683,1.60901,1.60568,1.60901,1348.3,2017-01-10,2017,01,10,1.6071600000000001
10,10.01.2017 10:00:00.000 GMT+1100,1.60901,1.6095,1.6074700000000002,1.60814,2151.04,2017-01-10,2017,01,10,1.6071600000000001
11,10.01.2017 11:00:00.000 GMT+1100,1.60814,1.60843,1.60459,1.6066,4757.9399,2017-01-10,2017,01,10,1.6071600000000001
12,10.01.2017 12:00:00.000 GMT+1100,1.6066,1.60703,1.6058299999999999,1.60618,4761.3198,2017-01-10,2017,01,10,1.6071600000000001
13,10.01.2017 13:00:00.000 GMT+1100,1.60618,1.60843,1.60609,1.6064399999999999,7821.5298,2017-01-10,2017,01,10,1.6071600000000001
14,10.01.2017 14:00:00.000 GMT+1100,1.6064399999999999,1.60774,1.60618,1.60683,7102.52,2017-01-10,2017,01,10,1.6071600000000001
15,10.01.2017 15:00:00.000 GMT+1100,1.6067799999999999,1.60724,1.60503,1.6053600000000001,5669.9199,2017-01-10,2017,01,10,1.6071600000000001
16,10.01.2017 16:00:00.000 GMT+1100,1.60538,1.6066799999999999,1.60453,1.60579,4898.2202,2017-01-10,2017,01,10,1.6071600000000001
17,10.01.2017 17:00:00.000 GMT+1100,1.6058299999999999,1.60619,1.60438,1.6058299999999999,5842.96,2017-01-10,2017,01,10,1.6071600000000001
18,10.01.2017 18:00:00.000 GMT+1100,1.60589,1.60779,1.6044,1.60609,8492.3701,2017-01-10,2017,01,10,1.6071600000000001
19,10.01.2017 19:00:00.000 GMT+1100,1.6061299999999998,1.6063399999999999,1.60051,1.60269,11738.46,2017-01-10,2017,01,10,1.6071600000000001
20,10.01.2017 20:00:00.000 GMT+1100,1.60264,1.60735,1.60236,1.60673,9177.7598,2017-01-10,2017,01,10,1.6071600000000001
21,10.01.2017 21:00:00.000 GMT+1100,1.6067200000000001,1.60817,1.60438,1.60618,7886.9302,2017-01-10,2017,01,10,1.6071600000000001
22,10.01.2017 22:00:00.000 GMT+1100,1.6062299999999998,1.6092600000000001,1.60548,1.60748,6997.9702,2017-01-10,2017,01,10,1.6071600000000001
23,10.01.2017 23:00:00.000 GMT+1100,1.60754,1.61089,1.6068799999999999,1.60955,10182.9102,2017-01-10,2017,01,10,1.6071600000000001
24,11.01.2017 00:00:00.000 GMT+1100,1.60956,1.61056,1.60796,1.60809,11070.7197,2017-01-11,2017,01,11,1.61122
25,11.01.2017 01:00:00.000 GMT+1100,1.60808,1.60857,1.60499,1.60568,11352.4502,2017-01-11,2017,01,11,1.61122
26,11.01.2017 02:00:00.000 GMT+1100,1.6057299999999999,1.60877,1.60315,1.60866,12877.6396,2017-01-11,2017,01,11,1.61122
27,11.01.2017 03:00:00.000 GMT+1100,1.60871,1.6087799999999999,1.60543,1.60663,12528.6104,2017-01-11,2017,01,11,1.61122
28,11.01.2017 04:00:00.000 GMT+1100,1.60664,1.60725,1.60499,1.6058,10286.3096,2017-01-11,2017,01,11,1.61122
29,11.01.2017 05:00:00.000 GMT+1100,1.6058,1.6098700000000001,1.6057299999999999,1.60933,8542.9502,2017-01-11,2017,01,11,1.61122
30,11.01.2017 06:00:00.000 GMT+1100,1.60933,1.6098299999999999,1.60837,1.60912,7912.52,2017-01-11,2017,01,11,1.61122
31,11.01.2017 07:00:00.000 GMT+1100,1.60909,1.60975,1.60796,1.6094,5848.1099,2017-01-11,2017,01,11,1.61122
32,11.01.2017 08:00:00.000 GMT+1100,1.6094600000000001,1.61164,1.6093899999999999,1.61109,4488.4302,2017-01-11,2017,01,11,1.61122
33,11.01.2017 09:00:00.000 GMT+1100,1.6110799999999998,1.6111799999999998,1.6100299999999999,1.6108799999999999,1001.79,2017-01-11,2017,01,11,1.61122
34,11.01.2017 10:00:00.000 GMT+1100,1.6108799999999999,1.61242,1.6106,1.61242,2206.95,2017-01-11,2017,01,11,1.61122
35,11.01.2017 11:00:00.000 GMT+1100,1.61242,1.6144399999999999,1.61229,1.6133899999999999,5476.75,2017-01-11,2017,01,11,1.61122
36,11.01.2017 12:00:00.000 GMT+1100,1.6133899999999999,1.6140299999999999,1.61273,1.61291,6202.21,2017-01-11,2017,01,11,1.61122
37,11.01.2017 13:00:00.000 GMT+1100,1.61291,1.61368,1.61168,1.61168,5414.6802,2017-01-11,2017,01,11,1.61122
38,11.01.2017 14:00:00.000 GMT+1100,1.61168,1.6125399999999999,1.61144,1.61153,5632.1802,2017-01-11,2017,01,11,1.61122
39,11.01.2017 15:00:00.000 GMT+1100,1.61152,1.61169,1.61048,1.61059,4644.4302,2017-01-11,2017,01,11,1.61122
40,11.01.2017 16:00:00.000 GMT+1100,1.61058,1.61129,1.60955,1.60958,5003.4399,2017-01-11,2017,01,11,1.61122
41,11.01.2017 17:00:00.000 GMT+1100,1.60964,1.6104399999999999,1.6081,1.6087,6292.1401,2017-01-11,2017,01,11,1.61122
42,11.01.2017 18:00:00.000 GMT+1100,1.60867,1.61004,1.60715,1.6085200000000002,6899.9502,2017-01-11,2017,01,11,1.61122
43,11.01.2017 19:00:00.000 GMT+1100,1.60853,1.60933,1.60712,1.60735,8695.2305,2017-01-11,2017,01,11,1.61122
44,11.01.2017 20:00:00.000 GMT+1100,1.60737,1.60903,1.60243,1.60418,9458.6104,2017-01-11,2017,01,11,1.61122
45,11.01.2017 21:00:00.000 GMT+1100,1.60417,1.60532,1.60124,1.60461,8908.7002,2017-01-11,2017,01,11,1.61122
46,11.01.2017 22:00:00.000 GMT+1100,1.6046200000000002,1.60694,1.60428,1.6048,7344.1401,2017-01-11,2017,01,11,1.61122
47,11.01.2017 23:00:00.000 GMT+1100,1.60483,1.60598,1.60341,1.60486,9389.0098,2017-01-11,2017,01,11,1.61122
48,12.01.2017 00:00:00.000 GMT+1100,1.60493,1.6055,1.6027799999999999,1.60489,10756.75,2017-01-12,2017,01,12,1.60922
49,12.01.2017 01:00:00.000 GMT+1100,1.6048799999999999,1.60643,1.60352,1.6040299999999998,12038.0498,2017-01-12,2017,01,12,1.60922
50,12.01.2017 02:00:00.000 GMT+1100,1.6040299999999998,1.6063,1.5988799999999999,1.6000299999999998,17144.1504,2017-01-12,2017,01,12,1.60922
51,12.01.2017 03:00:00.000 GMT+1100,1.60004,1.60541,1.5966799999999999,1.6012899999999999,22059.2695,2017-01-12,2017,01,12,1.60922
52,12.01.2017 04:00:00.000 GMT+1100,1.60133,1.60724,1.60128,1.60341,22525.3105,2017-01-12,2017,01,12,1.60922
53,12.01.2017 05:00:00.000 GMT+1100,1.6034,1.61091,1.6030799999999998,1.60934,23569.1406,2017-01-12,2017,01,12,1.60922
54,12.01.2017 06:00:00.000 GMT+1100,1.6092899999999999,1.61179,1.60663,1.60758,15365.9199,2017-01-12,2017,01,12,1.60922
55,12.01.2017 07:00:00.000 GMT+1100,1.60758,1.6084200000000002,1.60674,1.60743,11431.5596,2017-01-12,2017,01,12,1.60922
