,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.23764,1.2380200000000001,1.23512,1.2352100000000001,10673.1104,2017-01-10,2017,01,10,1.23471
1,10.01.2017 01:00:00.000 GMT+1100,1.2352,1.23674,1.2343,1.2352299999999998,11627.7695,2017-01-10,2017,01,10,1.23471
2,10.01.2017 02:00:00.000 GMT+1100,1.2352299999999998,1.23696,1.2342899999999999,1.23461,11105.7002,2017-01-10,2017,01,10,1.23471
3,10.01.2017 03:00:00.000 GMT+1100,1.2346700000000002,1.2367299999999999,1.23419,1.2345,8895.9697,2017-01-10,2017,01,10,1.23471
4,10.01.2017 04:00:00.000 GMT+1100,1.23448,1.2359,1.23346,1.23525,5829.3999,2017-01-10,2017,01,10,1.23471
5,10.01.2017 05:00:00.000 GMT+1100,1.23526,1.2357200000000002,1.23423,1.2354399999999999,4651.3198,2017-01-10,2017,01,10,1.23471
6,10.01.2017 06:00:00.000 GMT+1100,1.2354399999999999,1.23547,1.23346,1.2337200000000001,4297.3398,2017-01-10,2017,01,10,1.23471
7,10.01.2017 07:00:00.000 GMT+1100,1.23371,1.2351299999999998,1.2336200000000002,1.23433,5033.73,2017-01-10,2017,01,10,1.23471
8,10.01.2017 08:00:00.000 GMT+1100,1.23435,1.23484,1.2338,1.2342600000000001,2425.1499,2017-01-10,2017,01,10,1.23471
9,10.01.2017 09:00:00.000 GMT+1100,1.2341600000000001,1.23441,1.23295,1.23415,1045.38,2017-01-10,2017,01,10,1.23471
10,10.01.2017 10:00:00.000 GMT+1100,1.23423,1.23451,1.23358,1.23437,5412.4399,2017-01-10,2017,01,10,1.23471
11,10.01.2017 11:00:00.000 GMT+1100,1.23434,1.23455,1.2309700000000001,1.2322,5630.6401,2017-01-10,2017,01,10,1.23471
12,10.01.2017 12:00:00.000 GMT+1100,1.2321799999999998,1.23237,1.2314,1.23189,5235.9502,2017-01-10,2017,01,10,1.23471
13,10.01.2017 13:00:00.000 GMT+1100,1.2319,1.23325,1.23151,1.23155,7577.6001,2017-01-10,2017,01,10,1.23471
