,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.23764,1.23802,1.23512,1.23521,10673.1104,2017-01-10,2017,1,10,1.23471,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.2352,1.23674,1.2343,1.2352299999999998,11627.7695,2017-01-10,2017,1,10,1.23471,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.2352299999999998,1.23696,1.23429,1.23461,11105.7002,2017-01-10,2017,1,10,1.23471,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.2346700000000002,1.23673,1.23419,1.2345,8895.9697,2017-01-10,2017,1,10,1.23471,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.23448,1.2359,1.23346,1.23525,5829.3999,2017-01-10,2017,1,10,1.23471,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.23526,1.2357200000000002,1.23423,1.23544,4651.3198,2017-01-10,2017,1,10,1.23471,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.23544,1.23547,1.23346,1.23372,4297.3398,2017-01-10,2017,1,10,1.23471,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.23371,1.2351299999999998,1.2336200000000002,1.23433,5033.73,2017-01-10,2017,1,10,1.23471,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.23435,1.23484,1.2338,1.23426,2425.1499,2017-01-10,2017,1,10,1.23471,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.23416,1.23441,1.23295,1.23415,1045.38,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.23423,1.23451,1.23358,1.23437,5412.4399,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.23434,1.23455,1.23097,1.2322,5630.6401,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.2321799999999998,1.23237,1.2314,1.23189,5235.9502,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.2319,1.23325,1.23151,1.23155,7577.6001,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.23155,1.23234,1.2306,1.2309999999999999,8008.0801,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.23099,1.23131,1.22953,1.23004,5986.21,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.23011,1.23099,1.22929,1.2301799999999998,6025.0498,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.23021,1.23118,1.22966,1.23076,5647.9702,2017-01-10,2017,1,10,1.23471,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.2308,1.23136,1.22975,1.23011,7881.29,2017-01-10,2017,1,10,1.23471,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.23015,1.23105,1.22589,1.22692,11940.1396,2017-01-10,2017,1,10,1.23471,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.22692,1.23104,1.2264,1.2305700000000002,9798.2002,2017-01-10,2017,1,10,1.23471,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.2305700000000002,1.23186,1.22994,1.23166,7752.3999,2017-01-10,2017,1,10,1.23471,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.23171,1.2322,1.23011,1.23128,6401.4399,2017-01-10,2017,1,10,1.23471,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,1.23128,1.23481,1.23083,1.23371,7992.5898,2017-01-10,2017,1,10,1.23471,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,1.23373,1.2363,1.23325,1.23542,8310.0596,2017-01-11,2017,1,11,1.23816,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,1.23542,1.23609,1.23215,1.23225,10128.0498,2017-01-11,2017,1,11,1.23816,2269.59,2270.35,2264.839,2267.339,2.3146
