,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.21529,1.2159799999999998,1.21252,1.21374,9658.7803,2017-01-10,2017,01,10,1.21624
1,10.01.2017 01:00:00.000 GMT+1100,1.21374,1.21569,1.21285,1.21381,11529.4902,2017-01-10,2017,01,10,1.21624
2,10.01.2017 02:00:00.000 GMT+1100,1.21381,1.21745,1.2137,1.2145299999999999,10639.6104,2017-01-10,2017,01,10,1.21624
3,10.01.2017 03:00:00.000 GMT+1100,1.2145299999999999,1.21787,1.2145299999999999,1.21648,13680.0195,2017-01-10,2017,01,10,1.21624
4,10.01.2017 04:00:00.000 GMT+1100,1.21648,1.2175,1.2151399999999999,1.21684,8452.3203,2017-01-10,2017,01,10,1.21624
5,10.01.2017 05:00:00.000 GMT+1100,1.21685,1.21702,1.2157200000000001,1.2160799999999998,4704.6699,2017-01-10,2017,01,10,1.21624
6,10.01.2017 06:00:00.000 GMT+1100,1.2160799999999998,1.21658,1.21569,1.2162899999999999,4820.5698,2017-01-10,2017,01,10,1.21624
7,10.01.2017 07:00:00.000 GMT+1100,1.2162899999999999,1.21644,1.21538,1.2160799999999998,4870.6299,2017-01-10,2017,01,10,1.21624
8,10.01.2017 08:00:00.000 GMT+1100,1.2160600000000001,1.2165,1.21559,1.21581,2965.4299,2017-01-10,2017,01,10,1.21624
9,10.01.2017 09:00:00.000 GMT+1100,1.21577,1.21733,1.21574,1.21723,1837.8,2017-01-10,2017,01,10,1.21624
10,10.01.2017 10:00:00.000 GMT+1100,1.21725,1.21738,1.21623,1.21699,6233.8901,2017-01-10,2017,01,10,1.21624
11,10.01.2017 11:00:00.000 GMT+1100,1.217,1.21739,1.21367,1.21509,6413.98,2017-01-10,2017,01,10,1.21624
12,10.01.2017 12:00:00.000 GMT+1100,1.2151100000000001,1.21541,1.21356,1.21369,5633.0,2017-01-10,2017,01,10,1.21624
13,10.01.2017 13:00:00.000 GMT+1100,1.21371,1.21746,1.2135799999999999,1.21628,8364.8096,2017-01-10,2017,01,10,1.21624
14,10.01.2017 14:00:00.000 GMT+1100,1.2162600000000001,1.21799,1.21609,1.21682,7554.3901,2017-01-10,2017,01,10,1.21624
15,10.01.2017 15:00:00.000 GMT+1100,1.2168,1.21712,1.21474,1.2148700000000001,6746.4302,2017-01-10,2017,01,10,1.21624
