,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.21529,1.2159799999999998,1.21252,1.21374,9658.7803,2017-01-10,2017,1,10,1.21624,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.21374,1.21569,1.21285,1.21381,11529.4902,2017-01-10,2017,1,10,1.21624,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.21381,1.21745,1.2137,1.21453,10639.6104,2017-01-10,2017,1,10,1.21624,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.21453,1.21787,1.21453,1.21648,13680.0195,2017-01-10,2017,1,10,1.21624,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.21648,1.2175,1.21514,1.21684,8452.3203,2017-01-10,2017,1,10,1.21624,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.21685,1.21702,1.21572,1.2160799999999998,4704.6699,2017-01-10,2017,1,10,1.21624,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.2160799999999998,1.21658,1.21569,1.21629,4820.5698,2017-01-10,2017,1,10,1.21624,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.21629,1.21644,1.21538,1.2160799999999998,4870.6299,2017-01-10,2017,1,10,1.21624,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.21606,1.2165,1.21559,1.21581,2965.4299,2017-01-10,2017,1,10,1.21624,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.21577,1.21733,1.21574,1.21723,1837.8,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.21725,1.21738,1.21623,1.21699,6233.8901,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.217,1.21739,1.21367,1.21509,6413.98,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.21511,1.21541,1.21356,1.21369,5633.0,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.21371,1.21746,1.21358,1.21628,8364.8096,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.21626,1.21799,1.21609,1.21682,7554.3901,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.2168,1.21712,1.21474,1.21487,6746.4302,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.21487,1.21557,1.2138799999999998,1.21515,7380.9399,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.21512,1.21538,1.21389,1.21411,6039.1499,2017-01-10,2017,1,10,1.21624,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.2141,1.21548,1.21284,1.21471,10879.5303,2017-01-10,2017,1,10,1.21624,2267.59,2269.34,2267.42,2269.09,0.9991
