,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,0.92563,0.9266700000000001,0.92522,0.9254399999999999,6053.1401,2017-01-10,2017,01,10,0.9271799999999999
1,10.01.2017 01:00:00.000 GMT+1100,0.9254100000000001,0.9277,0.92532,0.9268799999999999,7539.98,2017-01-10,2017,01,10,0.9271799999999999
2,10.01.2017 02:00:00.000 GMT+1100,0.9269799999999999,0.92745,0.92453,0.92524,7756.71,2017-01-10,2017,01,10,0.9271799999999999
3,10.01.2017 03:00:00.000 GMT+1100,0.9252600000000001,0.92947,0.92522,0.9288,5857.75,2017-01-10,2017,01,10,0.9271799999999999
4,10.01.2017 04:00:00.000 GMT+1100,0.9288700000000001,0.92895,0.9275,0.92879,3288.25,2017-01-10,2017,01,10,0.9271799999999999
5,10.01.2017 05:00:00.000 GMT+1100,0.9287799999999999,0.92889,0.92824,0.9283899999999999,2622.25,2017-01-10,2017,01,10,0.9271799999999999
6,10.01.2017 06:00:00.000 GMT+1100,0.92837,0.9287799999999999,0.9279799999999999,0.92817,3049.25,2017-01-10,2017,01,10,0.9271799999999999
7,10.01.2017 07:00:00.000 GMT+1100,0.92817,0.92817,0.92755,0.9278799999999999,2769.1001,2017-01-10,2017,01,10,0.9271799999999999
8,10.01.2017 08:00:00.000 GMT+1100,0.9278299999999999,0.92809,0.9268299999999999,0.9270799999999999,2066.6499,2017-01-10,2017,01,10,0.9271799999999999
9,10.01.2017 09:00:00.000 GMT+1100,0.9271299999999999,0.9283299999999999,0.92696,0.92735,1192.35,2017-01-10,2017,01,10,0.9271799999999999
10,10.01.2017 10:00:00.000 GMT+1100,0.9273899999999999,0.92789,0.9264,0.92676,3090.5,2017-01-10,2017,01,10,0.9271799999999999
11,10.01.2017 11:00:00.000 GMT+1100,0.92675,0.9279,0.92671,0.92684,4445.7002,2017-01-10,2017,01,10,0.9271799999999999
12,10.01.2017 12:00:00.000 GMT+1100,0.92684,0.9283299999999999,0.92668,0.9278200000000001,4451.4502,2017-01-10,2017,01,10,0.9271799999999999
13,10.01.2017 13:00:00.000 GMT+1100,0.9278299999999999,0.9304899999999999,0.9273,0.9289299999999999,6947.5,2017-01-10,2017,01,10,0.9271799999999999
14,10.01.2017 14:00:00.000 GMT+1100,0.9289299999999999,0.93048,0.9285899999999999,0.92943,6237.3501,2017-01-10,2017,01,10,0.9271799999999999
15,10.01.2017 15:00:00.000 GMT+1100,0.92945,0.9298299999999999,0.92886,0.92905,4190.8501,2017-01-10,2017,01,10,0.9271799999999999
16,10.01.2017 16:00:00.000 GMT+1100,0.92904,0.9291799999999999,0.9283299999999999,0.9288299999999999,4438.3501,2017-01-10,2017,01,10,0.9271799999999999
17,10.01.2017 17:00:00.000 GMT+1100,0.9288700000000001,0.92953,0.92815,0.92843,4195.5,2017-01-10,2017,01,10,0.9271799999999999
