,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,81.391,81.482,81.35300000000001,81.442,7116.2598,2017-01-10,2017,01,10,81.418
1,10.01.2017 01:00:00.000 GMT+1100,81.442,81.45,81.318,81.395,9375.96,2017-01-10,2017,01,10,81.418
2,10.01.2017 02:00:00.000 GMT+1100,81.4,81.585,81.384,81.553,8969.2803,2017-01-10,2017,01,10,81.418
3,10.01.2017 03:00:00.000 GMT+1100,81.555,81.741,81.495,81.55,9203.6797,2017-01-10,2017,01,10,81.418
4,10.01.2017 04:00:00.000 GMT+1100,81.551,81.699,81.53399999999999,81.675,5265.0298,2017-01-10,2017,01,10,81.418
5,10.01.2017 05:00:00.000 GMT+1100,81.67,81.683,81.59899999999999,81.637,3601.1001,2017-01-10,2017,01,10,81.418
6,10.01.2017 06:00:00.000 GMT+1100,81.639,81.645,81.41,81.437,3932.3501,2017-01-10,2017,01,10,81.418
7,10.01.2017 07:00:00.000 GMT+1100,81.436,81.487,81.375,81.376,4281.6802,2017-01-10,2017,01,10,81.418
8,10.01.2017 08:00:00.000 GMT+1100,81.375,81.455,81.35300000000001,81.38,2148.5801,2017-01-10,2017,01,10,81.418
9,10.01.2017 09:00:00.000 GMT+1100,81.37899999999999,81.385,81.14,81.328,2417.8899,2017-01-10,2017,01,10,81.418
10,10.01.2017 10:00:00.000 GMT+1100,81.332,81.398,81.275,81.337,4755.9199,2017-01-10,2017,01,10,81.418
11,10.01.2017 11:00:00.000 GMT+1100,81.339,81.43,81.293,81.324,6863.75,2017-01-10,2017,01,10,81.418
12,10.01.2017 12:00:00.000 GMT+1100,81.325,81.405,81.29,81.405,6421.2598,2017-01-10,2017,01,10,81.418
13,10.01.2017 13:00:00.000 GMT+1100,81.405,81.455,81.263,81.318,9518.6201,2017-01-10,2017,01,10,81.418
14,10.01.2017 14:00:00.000 GMT+1100,81.318,81.40899999999999,81.148,81.184,8931.8799,2017-01-10,2017,01,10,81.418
15,10.01.2017 15:00:00.000 GMT+1100,81.184,81.225,81.15,81.17699999999999,5804.3599,2017-01-10,2017,01,10,81.418
16,10.01.2017 16:00:00.000 GMT+1100,81.175,81.25,81.152,81.235,5420.6001,2017-01-10,2017,01,10,81.418
17,10.01.2017 17:00:00.000 GMT+1100,81.24,81.297,81.14,81.25399999999999,5568.3198,2017-01-10,2017,01,10,81.418
18,10.01.2017 18:00:00.000 GMT+1100,81.25,81.265,81.142,81.215,6336.7202,2017-01-10,2017,01,10,81.418
19,10.01.2017 19:00:00.000 GMT+1100,81.215,81.257,81.09,81.185,8316.7002,2017-01-10,2017,01,10,81.418
20,10.01.2017 20:00:00.000 GMT+1100,81.186,81.23,81.13,81.175,6781.48,2017-01-10,2017,01,10,81.418
21,10.01.2017 21:00:00.000 GMT+1100,81.18,81.191,81.071,81.107,5707.5698,2017-01-10,2017,01,10,81.418
22,10.01.2017 22:00:00.000 GMT+1100,81.108,81.137,80.817,80.83,5147.6001,2017-01-10,2017,01,10,81.418
23,10.01.2017 23:00:00.000 GMT+1100,80.83,80.95,80.71600000000001,80.946,6553.0898,2017-01-10,2017,01,10,81.418
24,11.01.2017 00:00:00.000 GMT+1100,80.94800000000001,81.047,80.90899999999999,80.99,6579.0898,2017-01-11,2017,01,11,80.922
25,11.01.2017 01:00:00.000 GMT+1100,80.99,81.08,80.875,80.905,10838.5898,2017-01-11,2017,01,11,80.922
26,11.01.2017 02:00:00.000 GMT+1100,80.906,80.935,80.78399999999999,80.815,9807.2803,2017-01-11,2017,01,11,80.922
27,11.01.2017 03:00:00.000 GMT+1100,80.814,80.97,80.725,80.965,9183.54,2017-01-11,2017,01,11,80.922
28,11.01.2017 04:00:00.000 GMT+1100,80.965,81.035,80.898,80.943,6215.1001,2017-01-11,2017,01,11,80.922
29,11.01.2017 05:00:00.000 GMT+1100,80.94,80.953,80.798,80.81,4341.3901,2017-01-11,2017,01,11,80.922
30,11.01.2017 06:00:00.000 GMT+1100,80.805,80.92,80.78699999999999,80.915,4108.1899,2017-01-11,2017,01,11,80.922
31,11.01.2017 07:00:00.000 GMT+1100,80.91,80.93,80.805,80.834,2941.6101,2017-01-11,2017,01,11,80.922
32,11.01.2017 08:00:00.000 GMT+1100,80.835,80.985,80.83,80.898,2146.3701,2017-01-11,2017,01,11,80.922
33,11.01.2017 09:00:00.000 GMT+1100,80.885,80.96600000000001,80.876,80.91,1118.74,2017-01-11,2017,01,11,80.922
34,11.01.2017 10:00:00.000 GMT+1100,80.915,80.984,80.896,80.9,2598.3501,2017-01-11,2017,01,11,80.922
35,11.01.2017 11:00:00.000 GMT+1100,80.9,80.92,80.756,80.907,5891.0,2017-01-11,2017,01,11,80.922
36,11.01.2017 12:00:00.000 GMT+1100,80.907,81.059,80.84899999999999,80.979,6667.0698,2017-01-11,2017,01,11,80.922
37,11.01.2017 13:00:00.000 GMT+1100,80.98,81.185,80.965,81.156,6513.2798,2017-01-11,2017,01,11,80.922
38,11.01.2017 14:00:00.000 GMT+1100,81.165,81.21600000000001,81.119,81.15,5671.25,2017-01-11,2017,01,11,80.922
39,11.01.2017 15:00:00.000 GMT+1100,81.15,81.24,81.119,81.145,4529.1899,2017-01-11,2017,01,11,80.922
40,11.01.2017 16:00:00.000 GMT+1100,81.145,81.22,81.07300000000001,81.122,5745.9199,2017-01-11,2017,01,11,80.922
41,11.01.2017 17:00:00.000 GMT+1100,81.12100000000001,81.27,81.07300000000001,81.235,5788.9399,2017-01-11,2017,01,11,80.922
42,11.01.2017 18:00:00.000 GMT+1100,81.24,81.281,81.127,81.252,5452.3901,2017-01-11,2017,01,11,80.922
43,11.01.2017 19:00:00.000 GMT+1100,81.25,81.369,81.145,81.335,7385.1802,2017-01-11,2017,01,11,80.922
44,11.01.2017 20:00:00.000 GMT+1100,81.334,81.423,81.29899999999999,81.406,5868.8701,2017-01-11,2017,01,11,80.922
45,11.01.2017 21:00:00.000 GMT+1100,81.404,81.44,81.317,81.362,6214.9502,2017-01-11,2017,01,11,80.922
46,11.01.2017 22:00:00.000 GMT+1100,81.362,81.42,81.327,81.382,5087.9302,2017-01-11,2017,01,11,80.922
47,11.01.2017 23:00:00.000 GMT+1100,81.381,81.39,81.235,81.26100000000001,6813.54,2017-01-11,2017,01,11,80.922
48,12.01.2017 00:00:00.000 GMT+1100,81.26100000000001,81.288,81.193,81.27,7023.8799,2017-01-12,2017,01,12,81.418
49,12.01.2017 01:00:00.000 GMT+1100,81.26899999999999,81.39,81.267,81.38,9315.3096,2017-01-12,2017,01,12,81.418
