,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,81.391,81.482,81.35300000000002,81.442,7116.2598,2017-01-10,2017,1,10,81.418,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,81.442,81.45,81.318,81.395,9375.96,2017-01-10,2017,1,10,81.418,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,81.4,81.585,81.384,81.553,8969.2803,2017-01-10,2017,1,10,81.418,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,81.555,81.741,81.495,81.55,9203.6797,2017-01-10,2017,1,10,81.418,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,81.551,81.699,81.53399999999998,81.675,5265.0298,2017-01-10,2017,1,10,81.418,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,81.67,81.683,81.59899999999998,81.637,3601.1001,2017-01-10,2017,1,10,81.418,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,81.639,81.645,81.41,81.437,3932.3501,2017-01-10,2017,1,10,81.418,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,81.436,81.487,81.375,81.376,4281.6802,2017-01-10,2017,1,10,81.418,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,81.375,81.455,81.35300000000002,81.38,2148.5801,2017-01-10,2017,1,10,81.418,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,81.37899999999998,81.385,81.14,81.328,2417.8899,2017-01-10,2017,1,10,81.418,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,81.332,81.398,81.275,81.337,4755.9199,2017-01-10,2017,1,10,81.418,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,81.339,81.43,81.293,81.324,6863.75,2017-01-10,2017,1,10,81.418,2270.1,2270.1,2270.1,2270.1,0.0
