,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,0.6976899999999999,0.69934,0.6975,0.69901,5973.21,2017-01-10,2017,01,10,0.7015600000000001
1,10.01.2017 01:00:00.000 GMT+1100,0.699,0.7003199999999999,0.69891,0.69923,6947.52,2017-01-10,2017,01,10,0.7015600000000001
2,10.01.2017 02:00:00.000 GMT+1100,0.69925,0.70096,0.69908,0.70023,6411.8301,2017-01-10,2017,01,10,0.7015600000000001
3,10.01.2017 03:00:00.000 GMT+1100,0.70027,0.70313,0.70012,0.70252,6346.7598,2017-01-10,2017,01,10,0.7015600000000001
4,10.01.2017 04:00:00.000 GMT+1100,0.7025100000000001,0.7032,0.70195,0.70308,3826.0801,2017-01-10,2017,01,10,0.7015600000000001
5,10.01.2017 05:00:00.000 GMT+1100,0.70307,0.70321,0.70211,0.70212,3471.9199,2017-01-10,2017,01,10,0.7015600000000001
6,10.01.2017 06:00:00.000 GMT+1100,0.70211,0.70231,0.7014699999999999,0.7017399999999999,3582.5801,2017-01-10,2017,01,10,0.7015600000000001
7,10.01.2017 07:00:00.000 GMT+1100,0.7016399999999999,0.70172,0.70122,0.7013699999999999,3478.0801,2017-01-10,2017,01,10,0.7015600000000001
8,10.01.2017 08:00:00.000 GMT+1100,0.7013699999999999,0.70162,0.70112,0.7015399999999999,1588.66,2017-01-10,2017,01,10,0.7015600000000001
9,10.01.2017 09:00:00.000 GMT+1100,0.7015399999999999,0.70229,0.70138,0.70165,1557.8199,2017-01-10,2017,01,10,0.7015600000000001
10,10.01.2017 10:00:00.000 GMT+1100,0.70168,0.70191,0.70098,0.70129,5609.4302,2017-01-10,2017,01,10,0.7015600000000001
11,10.01.2017 11:00:00.000 GMT+1100,0.70127,0.70218,0.70092,0.70095,5566.54,2017-01-10,2017,01,10,0.7015600000000001
12,10.01.2017 12:00:00.000 GMT+1100,0.70095,0.7018399999999999,0.7006600000000001,0.7011,5989.4399,2017-01-10,2017,01,10,0.7015600000000001
13,10.01.2017 13:00:00.000 GMT+1100,0.70107,0.70439,0.7007,0.70329,7945.4102,2017-01-10,2017,01,10,0.7015600000000001
14,10.01.2017 14:00:00.000 GMT+1100,0.70325,0.70473,0.70313,0.70387,7299.2002,2017-01-10,2017,01,10,0.7015600000000001
15,10.01.2017 15:00:00.000 GMT+1100,0.70391,0.70423,0.70297,0.70304,6117.9199,2017-01-10,2017,01,10,0.7015600000000001
16,10.01.2017 16:00:00.000 GMT+1100,0.70306,0.70323,0.70229,0.7029,5566.3501,2017-01-10,2017,01,10,0.7015600000000001
17,10.01.2017 17:00:00.000 GMT+1100,0.70289,0.7036399999999999,0.7018800000000001,0.70194,5412.2798,2017-01-10,2017,01,10,0.7015600000000001
18,10.01.2017 18:00:00.000 GMT+1100,0.70192,0.70233,0.70039,0.70114,4879.0298,2017-01-10,2017,01,10,0.7015600000000001
19,10.01.2017 19:00:00.000 GMT+1100,0.70113,0.70163,0.70028,0.70148,6623.2598,2017-01-10,2017,01,10,0.7015600000000001
20,10.01.2017 20:00:00.000 GMT+1100,0.7015,0.70172,0.69928,0.6998300000000001,6282.04,2017-01-10,2017,01,10,0.7015600000000001
21,10.01.2017 21:00:00.000 GMT+1100,0.69986,0.70065,0.69926,0.70034,4728.7202,2017-01-10,2017,01,10,0.7015600000000001
22,10.01.2017 22:00:00.000 GMT+1100,0.70033,0.70035,0.69712,0.6972,4820.8799,2017-01-10,2017,01,10,0.7015600000000001
23,10.01.2017 23:00:00.000 GMT+1100,0.69724,0.69738,0.69584,0.6965899999999999,5737.4902,2017-01-10,2017,01,10,0.7015600000000001
24,11.01.2017 00:00:00.000 GMT+1100,0.6966,0.6977899999999999,0.69611,0.69775,4787.9399,2017-01-11,2017,01,11,0.69899
25,11.01.2017 01:00:00.000 GMT+1100,0.69775,0.70091,0.6972,0.69975,7720.9399,2017-01-11,2017,01,11,0.69899
26,11.01.2017 02:00:00.000 GMT+1100,0.69976,0.70053,0.69818,0.70011,8045.52,2017-01-11,2017,01,11,0.69899
27,11.01.2017 03:00:00.000 GMT+1100,0.70011,0.70068,0.69919,0.69943,6633.4199,2017-01-11,2017,01,11,0.69899
28,11.01.2017 04:00:00.000 GMT+1100,0.6994199999999999,0.6998300000000001,0.69798,0.6987800000000001,4693.1299,2017-01-11,2017,01,11,0.69899
29,11.01.2017 05:00:00.000 GMT+1100,0.69877,0.6987899999999999,0.69805,0.69835,4227.0498,2017-01-11,2017,01,11,0.69899
30,11.01.2017 06:00:00.000 GMT+1100,0.69834,0.6992,0.69811,0.69901,3148.7,2017-01-11,2017,01,11,0.69899
31,11.01.2017 07:00:00.000 GMT+1100,0.69899,0.69919,0.69867,0.69909,3358.23,2017-01-11,2017,01,11,0.69899
32,11.01.2017 08:00:00.000 GMT+1100,0.69908,0.6995600000000001,0.6985899999999999,0.6987399999999999,1920.63,2017-01-11,2017,01,11,0.69899
33,11.01.2017 09:00:00.000 GMT+1100,0.6986899999999999,0.6994199999999999,0.6985100000000001,0.6985100000000001,589.61,2017-01-11,2017,01,11,0.69899
34,11.01.2017 10:00:00.000 GMT+1100,0.69852,0.69889,0.69821,0.69824,2815.51,2017-01-11,2017,01,11,0.69899
35,11.01.2017 11:00:00.000 GMT+1100,0.69822,0.69913,0.69705,0.698,4451.3101,2017-01-11,2017,01,11,0.69899
36,11.01.2017 12:00:00.000 GMT+1100,0.69799,0.69893,0.69706,0.69835,6740.3901,2017-01-11,2017,01,11,0.69899
37,11.01.2017 13:00:00.000 GMT+1100,0.6983600000000001,0.69923,0.6977,0.69885,6493.3901,2017-01-11,2017,01,11,0.69899
38,11.01.2017 14:00:00.000 GMT+1100,0.6988300000000001,0.7001,0.69868,0.69952,5774.6802,2017-01-11,2017,01,11,0.69899
39,11.01.2017 15:00:00.000 GMT+1100,0.6995399999999999,0.6997399999999999,0.69897,0.69909,5582.2998,2017-01-11,2017,01,11,0.69899
40,11.01.2017 16:00:00.000 GMT+1100,0.6991,0.6997800000000001,0.6985899999999999,0.69958,7489.4399,2017-01-11,2017,01,11,0.69899
41,11.01.2017 17:00:00.000 GMT+1100,0.69957,0.70089,0.69915,0.70077,7293.8501,2017-01-11,2017,01,11,0.69899
42,11.01.2017 18:00:00.000 GMT+1100,0.70077,0.70077,0.69957,0.70014,4703.4199,2017-01-11,2017,01,11,0.69899
43,11.01.2017 19:00:00.000 GMT+1100,0.70013,0.70218,0.69953,0.7014,5929.5898,2017-01-11,2017,01,11,0.69899
44,11.01.2017 20:00:00.000 GMT+1100,0.7014100000000001,0.70153,0.70049,0.70077,4694.73,2017-01-11,2017,01,11,0.69899
45,11.01.2017 21:00:00.000 GMT+1100,0.7007800000000001,0.7008300000000001,0.69887,0.6993699999999999,5475.54,2017-01-11,2017,01,11,0.69899
46,11.01.2017 22:00:00.000 GMT+1100,0.6993699999999999,0.70049,0.69926,0.70008,4720.6001,2017-01-11,2017,01,11,0.69899
47,11.01.2017 23:00:00.000 GMT+1100,0.70007,0.70013,0.69877,0.69901,6238.8799,2017-01-11,2017,01,11,0.69899
48,12.01.2017 00:00:00.000 GMT+1100,0.69902,0.7001,0.6986100000000001,0.69987,5965.04,2017-01-12,2017,01,12,0.70554
49,12.01.2017 01:00:00.000 GMT+1100,0.69987,0.70026,0.6978800000000001,0.69812,7749.7002,2017-01-12,2017,01,12,0.70554
50,12.01.2017 02:00:00.000 GMT+1100,0.69813,0.69816,0.69608,0.6977300000000001,8540.5098,2017-01-12,2017,01,12,0.70554
51,12.01.2017 03:00:00.000 GMT+1100,0.69775,0.70324,0.69671,0.70047,14895.0195,2017-01-12,2017,01,12,0.70554
52,12.01.2017 04:00:00.000 GMT+1100,0.70048,0.7049300000000001,0.6986399999999999,0.70403,14064.8203,2017-01-12,2017,01,12,0.70554
53,12.01.2017 05:00:00.000 GMT+1100,0.70403,0.7087399999999999,0.70382,0.7064199999999999,13860.0195,2017-01-12,2017,01,12,0.70554
54,12.01.2017 06:00:00.000 GMT+1100,0.7063699999999999,0.7071,0.70405,0.70529,8128.21,2017-01-12,2017,01,12,0.70554
55,12.01.2017 07:00:00.000 GMT+1100,0.70531,0.7054199999999999,0.7043699999999999,0.70518,5310.8701,2017-01-12,2017,01,12,0.70554
56,12.01.2017 08:00:00.000 GMT+1100,0.70517,0.7056600000000001,0.70506,0.70534,3070.05,2017-01-12,2017,01,12,0.70554
57,12.01.2017 09:00:00.000 GMT+1100,0.7053,0.70585,0.7053,0.7054699999999999,614.23,2017-01-12,2017,01,12,0.70554
