Local time,Open,High,Low,Close,Volume
10.01.2017 00:00:00.000 GMT+1100,2275.35,2275.849,2273.099,2273.849,1.44
10.01.2017 01:00:00.000 GMT+1100,2273.849,2274.1,2268.849,2271.339,3.4139
10.01.2017 02:00:00.000 GMT+1100,2271.399,2274.84,2269.339,2274.339,3.2731
10.01.2017 03:00:00.000 GMT+1100,2274.16,2275.42,2271.84,2273.09,1.428
10.01.2017 04:00:00.000 GMT+1100,2273.11,2274.84,2271.589,2274.089,0.9213
10.01.2017 05:00:00.000 GMT+1100,2274.34,2274.589,2271.099,2272.34,1.6216
10.01.2017 06:00:00.000 GMT+1100,2272.34,2272.59,2269.099,2270.349,1.8739
10.01.2017 07:00:00.000 GMT+1100,2270.599,2272.6,2269.349,2269.599,1.7842
10.01.2017 08:00:00.000 GMT+1100,2269.849,2270.1,2269.849,2270.1,0.002
10.01.2017 09:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 10:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 11:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 12:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 13:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 14:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 15:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 16:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 17:00:00.000 GMT+1100,2270.1,2270.1,2270.1,2270.1,0
10.01.2017 18:00:00.000 GMT+1100,2267.59,2269.34,2267.42,2269.09,0.9991
10.01.2017 19:00:00.000 GMT+1100,2269.09,2271.1,2267.589,2268.469,2.1706
10.01.2017 20:00:00.000 GMT+1100,2268.369,2269.909,2268.34,2269.849,1.4698
