,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,81.042,81.062,80.947,81.006,6392.2998,2017-01-10,2017,01,10,80.797
1,10.01.2017 01:00:00.000 GMT+1100,81.007,81.03,80.833,80.965,7583.27,2017-01-10,2017,01,10,80.797
2,10.01.2017 02:00:00.000 GMT+1100,80.964,81.087,80.87899999999999,81.032,7108.23,2017-01-10,2017,01,10,80.797
3,10.01.2017 03:00:00.000 GMT+1100,81.03,81.089,80.834,80.892,6217.5,2017-01-10,2017,01,10,80.797
4,10.01.2017 04:00:00.000 GMT+1100,80.88600000000001,81.029,80.86,80.972,4365.0,2017-01-10,2017,01,10,80.797
5,10.01.2017 05:00:00.000 GMT+1100,80.97399999999999,81.04,80.916,81.02600000000001,2662.75,2017-01-10,2017,01,10,80.797
6,10.01.2017 06:00:00.000 GMT+1100,81.024,81.03399999999999,80.824,80.88,2685.75,2017-01-10,2017,01,10,80.797
7,10.01.2017 07:00:00.000 GMT+1100,80.883,80.947,80.791,80.792,3569.0,2017-01-10,2017,01,10,80.797
8,10.01.2017 08:00:00.000 GMT+1100,80.792,80.848,80.74,80.75399999999999,1271.5,2017-01-10,2017,01,10,80.797
9,10.01.2017 09:00:00.000 GMT+1100,80.60300000000001,80.749,80.556,80.749,1819.75,2017-01-10,2017,01,10,80.797
10,10.01.2017 10:00:00.000 GMT+1100,80.745,80.85300000000001,80.729,80.82300000000001,3448.5,2017-01-10,2017,01,10,80.797
11,10.01.2017 11:00:00.000 GMT+1100,80.825,80.862,80.702,80.778,6222.5,2017-01-10,2017,01,10,80.797
12,10.01.2017 12:00:00.000 GMT+1100,80.777,80.811,80.695,80.806,5495.0,2017-01-10,2017,01,10,80.797
13,10.01.2017 13:00:00.000 GMT+1100,80.807,80.866,80.577,80.671,7606.75,2017-01-10,2017,01,10,80.797
14,10.01.2017 14:00:00.000 GMT+1100,80.675,80.741,80.436,80.502,6921.25,2017-01-10,2017,01,10,80.797
15,10.01.2017 15:00:00.000 GMT+1100,80.502,80.55,80.46,80.517,4410.5,2017-01-10,2017,01,10,80.797
16,10.01.2017 16:00:00.000 GMT+1100,80.516,80.672,80.501,80.625,4288.0,2017-01-10,2017,01,10,80.797
17,10.01.2017 17:00:00.000 GMT+1100,80.626,80.72800000000001,80.554,80.689,4393.25,2017-01-10,2017,01,10,80.797
