,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.32689,1.3269799999999998,1.3237299999999999,1.32394,11039.9805,2017-01-10,2017,01,10,
1,10.01.2017 01:00:00.000 GMT+1100,1.32398,1.3261100000000001,1.32372,1.32565,12620.9902,2017-01-10,2017,01,10,
2,10.01.2017 02:00:00.000 GMT+1100,1.3256299999999999,1.32568,1.3206799999999999,1.3214,11437.1797,2017-01-10,2017,01,10,
3,10.01.2017 03:00:00.000 GMT+1100,1.3214,1.3225799999999999,1.3196700000000001,1.32208,11695.6104,2017-01-10,2017,01,10,
4,10.01.2017 04:00:00.000 GMT+1100,1.32209,1.3225200000000001,1.32083,1.32107,7167.4502,2017-01-10,2017,01,10,
5,10.01.2017 05:00:00.000 GMT+1100,1.3210600000000001,1.32234,1.32077,1.32229,6578.8701,2017-01-10,2017,01,10,
6,10.01.2017 06:00:00.000 GMT+1100,1.32231,1.32342,1.32169,1.3228600000000001,6561.3599,2017-01-10,2017,01,10,
7,10.01.2017 07:00:00.000 GMT+1100,1.3228600000000001,1.32325,1.3223,1.3229899999999999,5050.6802,2017-01-10,2017,01,10,
8,10.01.2017 08:00:00.000 GMT+1100,1.3229899999999999,1.32351,1.32138,1.32151,3515.1799,2017-01-10,2017,01,10,
9,10.01.2017 09:00:00.000 GMT+1100,1.32148,1.32235,1.32112,1.3217700000000001,2413.8201,2017-01-10,2017,01,10,
10,10.01.2017 10:00:00.000 GMT+1100,1.32185,1.3221,1.32133,1.3215,4435.4702,2017-01-10,2017,01,10,
11,10.01.2017 11:00:00.000 GMT+1100,1.3215,1.32239,1.32092,1.3223,5826.1201,2017-01-10,2017,01,10,
12,10.01.2017 12:00:00.000 GMT+1100,1.32228,1.32352,1.32188,1.32342,6691.6899,2017-01-10,2017,01,10,
13,10.01.2017 13:00:00.000 GMT+1100,1.3234,1.3235700000000001,1.32069,1.32083,8790.0703,2017-01-10,2017,01,10,
14,10.01.2017 14:00:00.000 GMT+1100,1.32083,1.3209600000000001,1.31979,1.32049,7762.5801,2017-01-10,2017,01,10,
15,10.01.2017 15:00:00.000 GMT+1100,1.3205,1.3215299999999999,1.32029,1.32151,5544.3198,2017-01-10,2017,01,10,
16,10.01.2017 16:00:00.000 GMT+1100,1.32145,1.32202,1.3212,1.32148,5430.8799,2017-01-10,2017,01,10,
17,10.01.2017 17:00:00.000 GMT+1100,1.32148,1.3226799999999999,1.32093,1.32267,4671.6802,2017-01-10,2017,01,10,
18,10.01.2017 18:00:00.000 GMT+1100,1.3226799999999999,1.32321,1.32171,1.3222,6595.1699,2017-01-10,2017,01,10,
19,10.01.2017 19:00:00.000 GMT+1100,1.3222399999999999,1.32324,1.32103,1.32209,9889.6201,2017-01-10,2017,01,10,
20,10.01.2017 20:00:00.000 GMT+1100,1.32209,1.3241,1.32188,1.32281,8397.8301,2017-01-10,2017,01,10,
21,10.01.2017 21:00:00.000 GMT+1100,1.32282,1.32301,1.3214,1.32159,6958.1299,2017-01-10,2017,01,10,
22,10.01.2017 22:00:00.000 GMT+1100,1.3216,1.32439,1.3216,1.3239,7167.1602,2017-01-10,2017,01,10,
23,10.01.2017 23:00:00.000 GMT+1100,1.3239,1.3257,1.3235,1.3249,8326.5195,2017-01-10,2017,01,10,
24,11.01.2017 00:00:00.000 GMT+1100,1.32489,1.32505,1.32188,1.32189,9064.5498,2017-01-11,2017,01,11,
25,11.01.2017 01:00:00.000 GMT+1100,1.3219,1.3223,1.3191899999999999,1.32039,12679.8096,2017-01-11,2017,01,11,
26,11.01.2017 02:00:00.000 GMT+1100,1.3203799999999999,1.32094,1.3191700000000002,1.32046,14199.9004,2017-01-11,2017,01,11,
27,11.01.2017 03:00:00.000 GMT+1100,1.32046,1.32145,1.31954,1.32087,12942.1699,2017-01-11,2017,01,11,
28,11.01.2017 04:00:00.000 GMT+1100,1.3208799999999998,1.32188,1.32036,1.3208,8487.6602,2017-01-11,2017,01,11,
29,11.01.2017 05:00:00.000 GMT+1100,1.32082,1.32348,1.32075,1.32325,7887.3799,2017-01-11,2017,01,11,
30,11.01.2017 06:00:00.000 GMT+1100,1.32324,1.32441,1.32275,1.32284,6008.8301,2017-01-11,2017,01,11,
31,11.01.2017 07:00:00.000 GMT+1100,1.32281,1.32281,1.32213,1.32269,4936.0698,2017-01-11,2017,01,11,
32,11.01.2017 08:00:00.000 GMT+1100,1.32269,1.3235700000000001,1.32265,1.3231600000000001,4506.2598,2017-01-11,2017,01,11,
33,11.01.2017 09:00:00.000 GMT+1100,1.3231600000000001,1.3236299999999999,1.32261,1.32349,1769.26,2017-01-11,2017,01,11,
34,11.01.2017 10:00:00.000 GMT+1100,1.3235700000000001,1.32455,1.32324,1.32454,2623.51,2017-01-11,2017,01,11,
35,11.01.2017 11:00:00.000 GMT+1100,1.32454,1.3247,1.3235299999999999,1.3246200000000001,6611.7002,2017-01-11,2017,01,11,
36,11.01.2017 12:00:00.000 GMT+1100,1.32459,1.32515,1.3239100000000001,1.3244200000000002,6637.5801,2017-01-11,2017,01,11,
