,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.32689,1.3269799999999998,1.32373,1.32394,11039.9805,2017-01-10,2017,1,10,,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.32398,1.32611,1.32372,1.32565,12620.9902,2017-01-10,2017,1,10,,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.32563,1.32568,1.32068,1.3214,11437.1797,2017-01-10,2017,1,10,,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.3214,1.32258,1.31967,1.32208,11695.6104,2017-01-10,2017,1,10,,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.32209,1.32252,1.32083,1.32107,7167.4502,2017-01-10,2017,1,10,,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.32106,1.32234,1.32077,1.32229,6578.8701,2017-01-10,2017,1,10,,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.32231,1.32342,1.32169,1.32286,6561.3599,2017-01-10,2017,1,10,,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.32286,1.32325,1.3223,1.32299,5050.6802,2017-01-10,2017,1,10,,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.32299,1.32351,1.32138,1.32151,3515.1799,2017-01-10,2017,1,10,,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.32148,1.32235,1.32112,1.32177,2413.8201,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.32185,1.3221,1.32133,1.3215,4435.4702,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.3215,1.32239,1.32092,1.3223,5826.1201,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.32228,1.32352,1.32188,1.32342,6691.6899,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.3234,1.32357,1.32069,1.32083,8790.0703,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.32083,1.32096,1.31979,1.32049,7762.5801,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.3205,1.32153,1.32029,1.32151,5544.3198,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.32145,1.32202,1.3212,1.32148,5430.8799,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.32148,1.32268,1.32093,1.32267,4671.6802,2017-01-10,2017,1,10,,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,1.32268,1.32321,1.32171,1.3222,6595.1699,2017-01-10,2017,1,10,,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,1.32224,1.32324,1.32103,1.32209,9889.6201,2017-01-10,2017,1,10,,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,1.32209,1.3241,1.32188,1.32281,8397.8301,2017-01-10,2017,1,10,,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,1.32282,1.32301,1.3214,1.32159,6958.1299,2017-01-10,2017,1,10,,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,1.3216,1.32439,1.3216,1.3239,7167.1602,2017-01-10,2017,1,10,,2271.34,2271.34,2270.09,2270.34,0.6358
