,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,116.674,116.695,116.415,116.513,12738.75,2017-01-10,2017,1,10,116.05,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,116.514,116.534,116.15,116.414,16580.8809,2017-01-10,2017,1,10,116.05,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,116.413,116.556,116.23,116.472,14536.4404,2017-01-10,2017,1,10,116.05,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,116.471,116.516,115.959,116.081,15551.7002,2017-01-10,2017,1,10,116.05,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,116.082,116.274,116.027,116.169,10074.1104,2017-01-10,2017,1,10,116.05,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,116.17,116.282,116.081,116.278,7058.77,2017-01-10,2017,1,10,116.05,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,116.282,116.29,116.043,116.056,9487.6299,2017-01-10,2017,1,10,116.05,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,116.06,116.189,115.999,116.03,8088.6802,2017-01-10,2017,1,10,116.05,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,116.033,116.1,115.993,116.011,3417.78,2017-01-10,2017,1,10,116.05,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,116.01,116.01,115.649,115.919,3321.27,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,115.919,116.089,115.885,115.986,7348.0098,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,115.986,116.088,115.818,116.024,10862.7197,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,116.022,116.134,115.847,116.114,10181.5596,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,116.113,116.21,115.483,115.629,14814.1602,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,115.629,115.702,115.198,115.343,15129.29,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,115.344,115.487,115.278,115.465,10356.8301,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,115.462,115.684,115.447,115.571,10134.9102,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,115.576,115.797,115.388,115.758,10621.1504,2017-01-10,2017,1,10,116.05,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,115.76,115.914,115.637,115.834,12248.8203,2017-01-10,2017,1,10,116.05,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,115.834,115.983,115.689,115.713,14378.1602,2017-01-10,2017,1,10,116.05,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,115.714,116.079,115.711,116.0,10670.9102,2017-01-10,2017,1,10,116.05,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,116.0,116.071,115.757,115.814,9086.29,2017-01-10,2017,1,10,116.05,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,115.817,116.023,115.812,115.937,7832.4902,2017-01-10,2017,1,10,116.05,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,115.939,116.307,115.86,116.207,10732.2197,2017-01-10,2017,1,10,116.05,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,116.208,116.343,116.056,116.075,10719.9902,2017-01-11,2017,1,11,115.778,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,116.077,116.182,115.447,115.626,17819.0,2017-01-11,2017,1,11,115.778,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,115.625,115.803,115.408,115.435,18387.0996,2017-01-11,2017,1,11,115.778,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,115.438,115.773,115.283,115.762,15677.8398,2017-01-11,2017,1,11,115.778,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,115.761,116.063,115.686,115.838,11026.0,2017-01-11,2017,1,11,115.778,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,115.838,115.916,115.705,115.718,7824.5601,2017-01-11,2017,1,11,115.778,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,115.718,115.816,115.651,115.758,6670.3999,2017-01-11,2017,1,11,115.778,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,115.758,115.799,115.618,115.633,5100.5098,2017-01-11,2017,1,11,115.778,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,115.632,115.782,115.632,115.77,3238.52,2017-01-11,2017,1,11,115.778,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,115.756,115.844,115.73,115.832,2133.5801,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,115.832,115.888,115.8,115.87,3346.72,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,115.871,115.953,115.669,115.916,8587.79,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,115.915,116.115,115.825,115.958,9836.6201,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,115.959,116.244,115.935,116.127,9850.5098,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
38,38,11.01.2017 14:00:00.000 GMT+1100,116.147,116.163,115.94,116.017,8350.8701,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
39,39,11.01.2017 15:00:00.000 GMT+1100,116.018,116.167,115.975,116.07,7527.0601,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
40,40,11.01.2017 16:00:00.000 GMT+1100,116.07,116.156,115.959,115.962,7327.46,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
41,41,11.01.2017 17:00:00.000 GMT+1100,115.963,116.094,115.849,115.926,6751.4502,2017-01-11,2017,1,11,115.778,2269.349,2269.349,2269.349,2269.349,0.0
42,42,11.01.2017 18:00:00.000 GMT+1100,115.926,116.148,115.88,116.051,8090.5698,2017-01-11,2017,1,11,115.778,2267.27,2268.09,2267.124,2267.589,0.4633
43,43,11.01.2017 19:00:00.000 GMT+1100,116.056,116.148,115.814,115.962,12524.2998,2017-01-11,2017,1,11,115.778,2267.813,2268.59,2265.09,2265.589,0.9219
44,44,11.01.2017 20:00:00.000 GMT+1100,115.961,116.204,115.939,116.169,9450.8701,2017-01-11,2017,1,11,115.778,2265.589,2270.09,2265.339,2269.839,1.2845
45,45,11.01.2017 21:00:00.000 GMT+1100,116.168,116.461,116.154,116.341,10257.5996,2017-01-11,2017,1,11,115.778,2269.839,2270.34,2269.089,2269.6,1.1416
46,46,11.01.2017 22:00:00.000 GMT+1100,116.34,116.368,116.204,116.249,8693.75,2017-01-11,2017,1,11,115.778,2269.59,2270.6,2268.339,2270.52,1.0415
47,47,11.01.2017 23:00:00.000 GMT+1100,116.251,116.384,116.104,116.252,10808.2695,2017-01-11,2017,1,11,115.778,2270.52,2270.6,2266.349,2266.349,1.3163
48,48,12.01.2017 00:00:00.000 GMT+1100,116.252,116.327,116.061,116.121,12633.1201,2017-01-12,2017,1,12,115.414,2266.349,2267.64,2266.02,2267.129,1.2394
49,49,12.01.2017 01:00:00.000 GMT+1100,116.122,116.599,116.1,116.572,16488.2305,2017-01-12,2017,1,12,115.414,2267.13,2272.6,2267.099,2272.35,2.426
50,50,12.01.2017 02:00:00.000 GMT+1100,116.575,116.857,116.572,116.578,17711.6895,2017-01-12,2017,1,12,115.414,2272.35,2274.11,2269.339,2271.34,3.1195
51,51,12.01.2017 03:00:00.000 GMT+1100,116.578,116.87,115.747,116.281,30407.0098,2017-01-12,2017,1,12,115.414,2271.34,2274.84,2260.35,2271.349,4.3193
52,52,12.01.2017 04:00:00.000 GMT+1100,116.279,116.583,115.248,115.377,29064.25,2017-01-12,2017,1,12,115.414,2271.349,2272.85,2262.79,2267.349,3.1175
53,53,12.01.2017 05:00:00.000 GMT+1100,115.376,115.448,114.246,114.994,29934.1309,2017-01-12,2017,1,12,115.414,2267.09,2269.1,2260.599,2267.85,2.6598
54,54,12.01.2017 06:00:00.000 GMT+1100,114.994,115.549,114.844,115.416,17699.8105,2017-01-12,2017,1,12,115.414,2268.099,2272.1,2266.879,2271.02,2.2252
55,55,12.01.2017 07:00:00.000 GMT+1100,115.414,115.626,115.391,115.425,10366.7197,2017-01-12,2017,1,12,115.414,2271.02,2275.09,2270.839,2275.089,2.0566
56,56,12.01.2017 08:00:00.000 GMT+1100,115.427,115.437,115.253,115.408,4758.5298,2017-01-12,2017,1,12,115.414,2275.34,2275.59,2275.019,2275.589,0.0028
57,57,12.01.2017 09:00:00.000 GMT+1100,115.408,115.508,115.288,115.401,3162.73,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
58,58,12.01.2017 10:00:00.000 GMT+1100,115.4,115.412,114.969,115.094,7445.21,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
59,59,12.01.2017 11:00:00.000 GMT+1100,115.096,115.235,114.869,115.126,14045.6602,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
60,60,12.01.2017 12:00:00.000 GMT+1100,115.127,115.198,114.98,115.082,12913.1504,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
61,61,12.01.2017 13:00:00.000 GMT+1100,115.082,115.1,114.617,114.792,13967.8203,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
62,62,12.01.2017 14:00:00.000 GMT+1100,114.793,114.846,114.38,114.437,11621.7002,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
63,63,12.01.2017 15:00:00.000 GMT+1100,114.44,114.723,114.398,114.641,10420.3203,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
64,64,12.01.2017 16:00:00.000 GMT+1100,114.64,114.766,114.406,114.406,8533.6104,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
65,65,12.01.2017 17:00:00.000 GMT+1100,114.404,114.641,114.183,114.262,11939.4199,2017-01-12,2017,1,12,115.414,2275.589,2275.589,2275.589,2275.589,0.0
66,66,12.01.2017 18:00:00.000 GMT+1100,114.267,114.531,114.267,114.315,13646.2998,2017-01-12,2017,1,12,115.414,2269.969,2270.349,2268.09,2268.09,1.0178
67,67,12.01.2017 19:00:00.000 GMT+1100,114.315,114.417,113.757,113.995,20509.5293,2017-01-12,2017,1,12,115.414,2268.09,2269.09,2265.952,2266.589,2.1617
68,68,12.01.2017 20:00:00.000 GMT+1100,113.979,114.195,113.901,114.045,16381.8096,2017-01-12,2017,1,12,115.414,2266.339,2269.35,2265.476,2268.6,1.6369
69,69,12.01.2017 21:00:00.000 GMT+1100,114.045,114.406,114.024,114.194,14026.4004,2017-01-12,2017,1,12,115.414,2268.6,2270.099,2267.871,2268.849,1.1942
70,70,12.01.2017 22:00:00.000 GMT+1100,114.198,114.368,114.109,114.293,10919.5098,2017-01-12,2017,1,12,115.414,2268.849,2270.099,2268.339,2269.35,1.1477
71,71,12.01.2017 23:00:00.000 GMT+1100,114.29,114.321,113.921,114.04,14567.54,2017-01-12,2017,1,12,115.414,2269.34,2270.62,2268.161,2270.59,1.393
72,72,13.01.2017 00:00:00.000 GMT+1100,114.039,114.536,113.906,114.367,16936.1406,2017-01-13,2017,1,13,114.719,2270.59,2271.09,2268.794,2270.339,1.2035
73,73,13.01.2017 01:00:00.000 GMT+1100,114.368,114.519,114.159,114.241,18078.5605,2017-01-13,2017,1,13,114.719,2270.339,2270.849,2263.07,2264.589,2.3088
74,74,13.01.2017 02:00:00.000 GMT+1100,114.241,114.274,113.829,114.039,19273.3809,2017-01-13,2017,1,13,114.719,2264.34,2264.85,2256.089,2256.97,3.1857
75,75,13.01.2017 03:00:00.000 GMT+1100,114.038,114.118,113.807,113.877,17280.1797,2017-01-13,2017,1,13,114.719,2256.97,2259.6,2253.849,2257.599,2.8001
76,76,13.01.2017 04:00:00.000 GMT+1100,113.876,114.096,113.862,114.036,11460.0703,2017-01-13,2017,1,13,114.719,2257.599,2265.34,2257.339,2264.09,2.2807
77,77,13.01.2017 05:00:00.000 GMT+1100,114.036,114.39,114.006,114.285,13198.0195,2017-01-13,2017,1,13,114.719,2264.09,2268.34,2263.252,2267.339,2.076
