,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.43944,1.43949,1.43759,1.4381,5299.3101,2017-01-10,2017,01,10,
1,10.01.2017 01:00:00.000 GMT+1100,1.4381,1.43812,1.43645,1.4375,5046.1099,2017-01-10,2017,01,10,
2,10.01.2017 02:00:00.000 GMT+1100,1.43749,1.43828,1.4361899999999999,1.43696,5017.96,2017-01-10,2017,01,10,
3,10.01.2017 03:00:00.000 GMT+1100,1.43696,1.43696,1.4339,1.43464,3694.1001,2017-01-10,2017,01,10,
4,10.01.2017 04:00:00.000 GMT+1100,1.4346299999999998,1.4354,1.43408,1.43446,2225.6599,2017-01-10,2017,01,10,
5,10.01.2017 05:00:00.000 GMT+1100,1.43445,1.43482,1.4339,1.43482,1261.28,2017-01-10,2017,01,10,
6,10.01.2017 06:00:00.000 GMT+1100,1.4348100000000001,1.43516,1.43392,1.43444,1716.79,2017-01-10,2017,01,10,
7,10.01.2017 07:00:00.000 GMT+1100,1.4344299999999999,1.43579,1.43439,1.43567,1510.49,2017-01-10,2017,01,10,
8,10.01.2017 08:00:00.000 GMT+1100,1.43567,1.4363299999999999,1.4354,1.43623,1011.01,2017-01-10,2017,01,10,
9,10.01.2017 09:00:00.000 GMT+1100,1.43623,1.43626,1.4346700000000001,1.43515,732.5,2017-01-10,2017,01,10,
10,10.01.2017 10:00:00.000 GMT+1100,1.43518,1.43563,1.43449,1.4348299999999998,992.11,2017-01-10,2017,01,10,
11,10.01.2017 11:00:00.000 GMT+1100,1.43482,1.4363700000000001,1.43394,1.43611,3164.1599,2017-01-10,2017,01,10,
12,10.01.2017 12:00:00.000 GMT+1100,1.43616,1.43715,1.43513,1.4367,3264.5801,2017-01-10,2017,01,10,
13,10.01.2017 13:00:00.000 GMT+1100,1.4367,1.437,1.4321,1.43296,3673.3201,2017-01-10,2017,01,10,
