,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
0,10.01.2017,W,L,L,W,L,L,L,W,W,L,L,L,L,L,L,W,W,W,L,L,W,W,L
1,11.01.2017,L,W,L,W,W,D,W,L,D,W,L,D,W,L,D,W,W,W,D,L,W,D,L
2,12.01.2017,W,D,L,W,W,L,L,W,W,L,W,L,D,D,L,W,W,W,L,L,W,W,W
3,13.01.2017,D,D,W,D,L,W,L,L,L,L,L,D,D,W,W,L,W,L,W,L,D,L,D
5,16.01.2017,W,D,W,W,W,L,W,L,W,W,W,L,D,L,W,L,L,L,W,W,D,L,L
6,17.01.2017,L,L,W,W,W,D,L,D,L,L,D,L,W,W,L,D,D,L,D,D,D,D,D
7,18.01.2017,L,L,W,W,L,W,L,L,L,W,D,L,W,D,D,L,L,L,W,L,L,W,L
8,19.01.2017,L,D,L,L,W,W,W,W,W,L,L,W,L,L,D,W,W,W,L,W,W,L,L
9,20.01.2017,D,L,D,W,W,D,L,D,W,W,L,W,L,W,W,D,L,W,D,D,D,L,D
11,23.01.2017,W,W,L,D,L,L,W,D,L,L,L,L,W,D,D,W,W,L,L,L,L,L,L
12,24.01.2017,W,D,L,L,L,L,L,W,L,W,W,L,W,L,W,L,W,W,L,W,L,W,L
13,25.01.2017,D,W,L,L,W,L,L,D,W,W,W,W,L,W,W,L,W,W,W,W,L,L,L
14,26.01.2017,L,D,W,W,L,W,L,W,L,W,W,L,L,W,W,L,W,W,W,W,L,W,W
15,27.01.2017,D,L,D,D,L,D,W,D,W,L,W,W,D,L,W,L,L,L,L,W,L,W,D
17,30.01.2017,W,D,L,W,W,W,L,L,L,L,L,L,L,W,L,W,L,L,W,L,L,W,W
18,31.01.2017,D,D,W,L,L,W,D,D,W,D,W,D,W,L,L,D,L,L,L,L,L,D,D
19,01.02.2017,D,D,W,D,W,L,L,D,L,L,L,L,L,W,L,L,L,L,L,W,L,D,L
20,02.02.2017,W,L,W,L,L,L,L,W,L,L,L,L,L,L,L,L,L,L,L,W,W,L,W
21,03.02.2017,D,L,W,W,W,W,D,W,L,W,L,W,W,W,W,L,L,L,W,W,D,L,L
23,06.02.2017,W,D,L,D,W,W,W,D,L,W,L,W,W,L,D,W,L,D,L,L,D,W,D
24,07.02.2017,L,L,L,W,W,W,W,L,L,L,W,L,D,L,W,L,L,W,W,L,W,L,L
25,08.02.2017,D,L,W,D,W,L,D,L,W,L,W,D,D,D,L,D,L,L,L,W,L,W,W
26,09.02.2017,W,D,D,D,W,L,L,W,L,L,W,L,W,D,D,L,L,W,W,L,W,L,W
27,10.02.2017,L,D,W,L,L,D,W,D,D,D,D,D,W,L,D,W,D,W,W,D,L,L,D
29,13.02.2017,L,D,L,L,L,W,W,W,D,L,L,L,D,W,D,L,W,L,L,W,L,W,D
30,14.02.2017,D,L,D,W,W,W,L,L,D,W,L,W,L,W,D,L,W,W,W,W,W,W,L
31,15.02.2017,W,D,L,L,L,L,L,W,W,W,W,W,L,L,L,W,L,D,W,L,D,D,D
32,16.02.2017,D,D,W,W,L,W,L,L,W,L,L,W,D,W,W,W,W,L,W,W,L,L,L
33,17.02.2017,D,D,L,D,L,D,D,D,D,L,D,D,D,D,D,D,D,W,L,D,D,D,D
35,20.02.2017,D,D,W,D,W,L,W,W,W,W,D,D,D,L,D,D,L,D,D,L,L,D,D
36,21.02.2017,W,L,W,L,W,W,W,W,W,W,W,L,L,L,L,L,L,W,D,L,W,L,D
37,22.02.2017,W,L,L,L,L,W,W,W,L,W,L,W,W,W,L,W,W,L,W,L,W,L,W
38,23.02.2017,D,D,W,W,W,W,L,L,W,L,L,W,L,W,D,L,L,W,W,L,W,W,W
39,24.02.2017,L,D,L,L,L,L,W,D,D,L,D,D,L,L,L,L,L,L,W,W,L,L,W
41,27.02.2017,W,L,W,W,L,L,W,L,W,L,W,W,W,D,L,L,L,L,L,W,W,W,L
42,28.02.2017,D,L,L,D,L,D,D,L,W,L,W,D,D,L,D,D,L,L,D,L,W,W,W
43,01.03.2017,L,D,W,L,L,D,W,D,L,L,L,L,W,W,W,W,D,D,D,W,D,D,W
44,02.03.2017,L,W,W,D,D,L,D,L,L,L,L,W,D,D,D,W,W,L,L,W,L,W,W
45,03.03.2017,W,W,W,D,W,L,W,D,W,W,W,W,D,W,D,L,W,L,W,L,L,L,L
47,06.03.2017,D,W,D,D,D,L,L,W,D,D,W,W,W,L,D,L,D,W,D,L,D,L,L
48,07.03.2017,L,D,L,L,L,W,L,L,W,W,W,L,D,W,D,W,L,W,W,W,W,W,L
49,08.03.2017,L,L,L,D,W,W,D,W,W,L,W,W,L,L,L,W,W,L,D,W,L,W,W
50,09.03.2017,D,D,D,L,W,D,W,D,D,W,W,L,D,D,D,L,D,L,W,L,D,L,D
51,10.03.2017,D,W,W,L,L,L,L,D,W,D,L,D,D,L,D,D,W,W,L,L,D,D,L
53,13.03.2017,D,D,L,D,W,L,W,D,W,D,L,L,L,W,D,W,D,L,W,D,W,L,D
54,14.03.2017,D,D,L,L,L,L,W,D,L,L,L,W,D,D,L,D,L,D,W,D,D,L,L
55,15.03.2017,W,L,L,L,L,L,D,D,L,L,L,D,W,D,W,D,L,W,W,L,D,W,L
56,16.03.2017,L,W,L,L,L,L,W,L,L,W,L,L,D,L,W,L,L,W,L,L,L,W,D
57,17.03.2017,L,D,D,D,W,D,W,W,W,L,L,W,D,D,D,D,D,L,W,W,D,L,L
59,20.03.2017,L,W,L,D,L,L,L,L,D,L,W,D,L,L,L,L,L,L,W,L,W,L,L
60,21.03.2017,D,D,D,D,D,W,W,D,W,W,L,W,L,W,D,W,D,W,W,W,L,L,D
61,22.03.2017,W,D,L,W,D,W,L,D,D,L,L,W,D,L,W,L,D,L,W,W,D,L,L
62,23.03.2017,D,D,W,D,W,L,L,L,L,D,L,L,W,L,L,W,W,W,L,D,L,W,L
63,24.03.2017,D,L,D,W,D,D,L,W,D,L,L,L,W,D,D,D,L,W,D,D,D,W,D
65,27.03.2017,D,W,W,W,W,L,W,L,W,W,W,W,L,W,W,L,W,L,L,L,L,D,L
